"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","EO","Female","20","20","[c]","[c]"
"In post","2023","16-19","Analysis","EO","Male","25","25","[c]","[c]"
"In post","2023","16-19","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","16-19","Debt","AA/AO","Male","30","30","22540","22520"
"In post","2023","16-19","Digital, Data & Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Unknown","Male","5","5","[c]","[c]"
"In post","2023","16-19","Finance","AA/AO","Female","15","10","[c]","[c]"
"In post","2023","16-19","Finance","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Human Resources","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","AA/AO","Female","40","40","21120","20980"
"In post","2023","16-19","Legal","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Legal","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","AA/AO","Female","400","385","23710","22520"
"In post","2023","16-19","No function","AA/AO","Male","410","395","23040","22500"
"In post","2023","16-19","No function","EO","Female","40","40","27540","27740"
"In post","2023","16-19","No function","EO","Male","30","30","[c]","[c]"
"In post","2023","16-19","No function","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","Female","30","25","20140","19090"
"In post","2023","16-19","No function","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Male","15","15","[c]","[c]"
"In post","2023","16-19","Property","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","16-19","Property","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Unknown","Male","15","15","[c]","[c]"
"In post","2023","16-19","Security","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","Female","45","40","22400","22180"
"In post","2023","16-19","Unknown","AA/AO","Male","40","40","22650","22460"
"In post","2023","16-19","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Male","20","20","[c]","[c]"
"In post","2023","20-29","Analysis","AA/AO","Female","70","70","22970","22520"
"In post","2023","20-29","Analysis","AA/AO","Male","80","80","22860","23200"
"In post","2023","20-29","Analysis","EO","Female","195","195","27940","28120"
"In post","2023","20-29","Analysis","EO","Male","220","220","28040","28120"
"In post","2023","20-29","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","G6/G7","Female","200","200","56640","55720"
"In post","2023","20-29","Analysis","G6/G7","Male","290","285","56500","55720"
"In post","2023","20-29","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","SEO/HEO","Female","1280","1270","36660","36130"
"In post","2023","20-29","Analysis","SEO/HEO","Male","1360","1355","36330","35410"
"In post","2023","20-29","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA/AO","Female","55","55","23970","22390"
"In post","2023","20-29","Commercial","AA/AO","Male","55","55","23240","22350"
"In post","2023","20-29","Commercial","EO","Female","125","125","27540","27140"
"In post","2023","20-29","Commercial","EO","Male","115","115","27120","27080"
"In post","2023","20-29","Commercial","G6/G7","Female","70","70","60860","56200"
"In post","2023","20-29","Commercial","G6/G7","Male","60","60","60640","56430"
"In post","2023","20-29","Commercial","SEO/HEO","Female","380","380","35820","35010"
"In post","2023","20-29","Commercial","SEO/HEO","Male","315","315","35810","34400"
"In post","2023","20-29","Commercial","Unknown","Female","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Male","10","10","[c]","[c]"
"In post","2023","20-29","Communications","AA/AO","Female","30","30","[c]","[c]"
"In post","2023","20-29","Communications","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","20-29","Communications","EO","Female","100","100","28160","27960"
"In post","2023","20-29","Communications","EO","Male","55","55","28080","28300"
"In post","2023","20-29","Communications","G6/G7","Female","30","30","55640","55720"
"In post","2023","20-29","Communications","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","20-29","Communications","SEO/HEO","Female","390","385","37890","37570"
"In post","2023","20-29","Communications","SEO/HEO","Male","205","200","37730","36100"
"In post","2023","20-29","Communications","Unknown","Female","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AA/AO","Female","155","150","23450","22520"
"In post","2023","20-29","Counter Fraud","AA/AO","Male","145","145","23180","22520"
"In post","2023","20-29","Counter Fraud","EO","Female","670","660","29120","28120"
"In post","2023","20-29","Counter Fraud","EO","Male","505","500","29180","28120"
"In post","2023","20-29","Counter Fraud","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","20-29","Counter Fraud","SEO/HEO","Female","250","250","36640","34700"
"In post","2023","20-29","Counter Fraud","SEO/HEO","Male","230","230","36370","35000"
"In post","2023","20-29","Debt","AA/AO","Female","800","760","22680","22520"
"In post","2023","20-29","Debt","AA/AO","Male","720","705","22590","22520"
"In post","2023","20-29","Debt","EO","Female","85","85","28080","28120"
"In post","2023","20-29","Debt","EO","Male","85","85","28100","28120"
"In post","2023","20-29","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","20-29","Debt","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","AA/AO","Female","90","90","22020","21690"
"In post","2023","20-29","Digital, Data & Technology","AA/AO","Male","155","155","22250","22040"
"In post","2023","20-29","Digital, Data & Technology","EO","Female","345","340","27740","27650"
"In post","2023","20-29","Digital, Data & Technology","EO","Male","715","705","27930","27650"
"In post","2023","20-29","Digital, Data & Technology","G6/G7","Female","165","160","55670","55290"
"In post","2023","20-29","Digital, Data & Technology","G6/G7","Male","225","225","55470","55090"
"In post","2023","20-29","Digital, Data & Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","SEO/HEO","Female","955","950","36490","35660"
"In post","2023","20-29","Digital, Data & Technology","SEO/HEO","Male","1330","1325","36970","35650"
"In post","2023","20-29","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Unknown","Female","10","10","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Unknown","Male","15","15","[c]","[c]"
"In post","2023","20-29","Finance","AA/AO","Female","175","165","23120","22520"
"In post","2023","20-29","Finance","AA/AO","Male","200","195","23010","22520"
"In post","2023","20-29","Finance","EO","Female","230","225","28020","27650"
"In post","2023","20-29","Finance","EO","Male","190","190","27770","27650"
"In post","2023","20-29","Finance","G6/G7","Female","70","70","56110","55150"
"In post","2023","20-29","Finance","G6/G7","Male","95","95","56420","55720"
"In post","2023","20-29","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","SEO/HEO","Female","350","345","36170","34550"
"In post","2023","20-29","Finance","SEO/HEO","Male","405","405","36710","35200"
"In post","2023","20-29","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Unknown","Male","10","10","[c]","[c]"
"In post","2023","20-29","Grants Management","AA/AO","Female","150","145","22090","22150"
"In post","2023","20-29","Grants Management","AA/AO","Male","145","145","22130","22150"
"In post","2023","20-29","Grants Management","EO","Female","55","55","25810","25920"
"In post","2023","20-29","Grants Management","EO","Male","30","30","25790","25920"
"In post","2023","20-29","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","20-29","Grants Management","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","20-29","Human Resources","AA/AO","Female","170","165","22500","22220"
"In post","2023","20-29","Human Resources","AA/AO","Male","90","90","22350","22220"
"In post","2023","20-29","Human Resources","EO","Female","345","340","27540","27650"
"In post","2023","20-29","Human Resources","EO","Male","170","170","27940","27890"
"In post","2023","20-29","Human Resources","G6/G7","Female","130","130","56310","55320"
"In post","2023","20-29","Human Resources","G6/G7","Male","40","40","55710","54920"
"In post","2023","20-29","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","SEO/HEO","Female","540","535","34930","34170"
"In post","2023","20-29","Human Resources","SEO/HEO","Male","180","180","35740","34700"
"In post","2023","20-29","Human Resources","Unknown","Female","5","5","[c]","[c]"
"In post","2023","20-29","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","EO","Female","10","10","[c]","[c]"
"In post","2023","20-29","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Internal Audit","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","20-29","Legal","AA/AO","Female","410","405","23110","22870"
"In post","2023","20-29","Legal","AA/AO","Male","195","195","22890","22870"
"In post","2023","20-29","Legal","EO","Female","520","515","28270","27760"
"In post","2023","20-29","Legal","EO","Male","170","170","28500","28080"
"In post","2023","20-29","Legal","G6/G7","Female","240","235","52760","52360"
"In post","2023","20-29","Legal","G6/G7","Male","110","110","53820","52360"
"In post","2023","20-29","Legal","SEO/HEO","Female","215","215","37780","38760"
"In post","2023","20-29","Legal","SEO/HEO","Male","120","120","37920","38760"
"In post","2023","20-29","No function","AA/AO","Female","11145","10705","24760","22520"
"In post","2023","20-29","No function","AA/AO","Male","9625","9510","25320","22920"
"In post","2023","20-29","No function","EO","Female","8125","7985","28680","28120"
"In post","2023","20-29","No function","EO","Male","5830","5800","28480","28120"
"In post","2023","20-29","No function","G6/G7","Female","1640","1635","56160","55120"
"In post","2023","20-29","No function","G6/G7","Male","1360","1355","56680","55370"
"In post","2023","20-29","No function","SCS level","Female","5","5","[c]","[c]"
"In post","2023","20-29","No function","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","No function","SEO/HEO","Female","6950","6905","36520","35240"
"In post","2023","20-29","No function","SEO/HEO","Male","5060","5045","36650","35040"
"In post","2023","20-29","No function","Unknown","Female","3745","3650","25750","24570"
"In post","2023","20-29","No function","Unknown","Male","710","700","25170","23640"
"In post","2023","20-29","Project Delivery","AA/AO","Female","110","110","22440","22520"
"In post","2023","20-29","Project Delivery","AA/AO","Male","105","105","22530","23200"
