"Status","Year","Age","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","AA/AO","Female","35","35","24780","23230"
"In post","2023","16-19","East Midlands (England)","AA/AO","Male","45","45","24510","23230"
"In post","2023","16-19","East Midlands (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","AA/AO","Female","35","30","24210","23230"
"In post","2023","16-19","East of England","AA/AO","Male","35","30","24470","23230"
"In post","2023","16-19","East of England","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","AA/AO","Female","35","35","25530","25480"
"In post","2023","16-19","London","AA/AO","Male","35","35","26070","26400"
"In post","2023","16-19","London","EO","Female","30","30","[c]","[c]"
"In post","2023","16-19","London","EO","Male","20","20","[c]","[c]"
"In post","2023","16-19","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","AA/AO","Female","35","30","23400","22520"
"In post","2023","16-19","North East (England)","AA/AO","Male","30","25","[c]","[c]"
"In post","2023","16-19","North East (England)","EO","Female","10","10","[c]","[c]"
"In post","2023","16-19","North East (England)","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","North East (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","AA/AO","Female","75","70","23300","22490"
"In post","2023","16-19","North West (England)","AA/AO","Male","40","40","23260","22520"
"In post","2023","16-19","North West (England)","EO","Female","10","10","[c]","[c]"
"In post","2023","16-19","North West (England)","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","North West (England)","Unknown","Female","5","5","[c]","[c]"
"In post","2023","16-19","North West (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","AA/AO","Female","60","60","22850","22520"
"In post","2023","16-19","Scotland","AA/AO","Male","70","65","22390","22460"
