"Status","Year","Organisation","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","75","65","36360","33520"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Unknown","45","45","29280","24890"
"In post","2023","Accountant in Bankruptcy","Glasgow City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","Swansea","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Swansea","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Active Travel England","York","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","Unknown","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Heterosexual / straight","50","45","33940","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Unknown","15","15","[c]","[c]"
