"Status","Year","Age","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Other","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Other","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Unknown","Unknown","30","30","[c]","[c]"
"In post","2023","16-19","Policy","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Policy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Policy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Property","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","Psychology","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Psychology","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Outside London","Heterosexual / straight","50","50","20070","19430"
"In post","2023","16-19","Science and Engineering","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Outside London","Unknown","50","50","19050","18280"
"In post","2023","16-19","Security","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","Heterosexual / straight","35","35","23020","22520"
"In post","2023","16-19","Unknown","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","Unknown","40","40","22910","22180"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Veterinarian","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Veterinarian","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","London","Heterosexual / straight","145","145","42290","38140"
"In post","2023","20-29","Commercial","London","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Commercial","London","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","London","Unknown","125","125","39600","32960"
"In post","2023","20-29","Commercial","Outside London","Heterosexual / straight","540","535","32810","31920"
"In post","2023","20-29","Commercial","Outside London","LGBO","65","65","33790","32500"
"In post","2023","20-29","Commercial","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2023","20-29","Commercial","Outside London","Unknown","190","190","32330","30130"
"In post","2023","20-29","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","London","Heterosexual / straight","280","275","38780","37870"
"In post","2023","20-29","Communications","London","LGBO","40","40","37280","35410"
"In post","2023","20-29","Communications","London","Undeclared","30","30","37820","35700"
"In post","2023","20-29","Communications","London","Unknown","175","175","39140","38360"
"In post","2023","20-29","Communications","Outside London","Heterosexual / straight","200","200","31880","31270"
"In post","2023","20-29","Communications","Outside London","LGBO","30","30","34000","32260"
"In post","2023","20-29","Communications","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","Communications","Outside London","Unknown","50","50","32800","31660"
"In post","2023","20-29","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","London","Heterosexual / straight","215","215","32000","32520"
"In post","2023","20-29","Counter Fraud","London","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Counter Fraud","London","Undeclared","10","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","London","Unknown","55","55","34960","32540"
"In post","2023","20-29","Counter Fraud","Outside London","Heterosexual / straight","645","635","28360","28120"
"In post","2023","20-29","Counter Fraud","Outside London","LGBO","75","75","28640","28120"
"In post","2023","20-29","Counter Fraud","Outside London","Undeclared","40","40","28880","28120"
"In post","2023","20-29","Counter Fraud","Outside London","Unknown","160","155","28940","28120"
"In post","2023","20-29","Digital, Data and Technology","London","Heterosexual / straight","470","465","42420","41410"
"In post","2023","20-29","Digital, Data and Technology","London","LGBO","75","75","43640","41550"
"In post","2023","20-29","Digital, Data and Technology","London","Undeclared","60","60","42310","41170"
"In post","2023","20-29","Digital, Data and Technology","London","Unknown","335","330","39170","36340"
"In post","2023","20-29","Digital, Data and Technology","Outside London","Heterosexual / straight","1520","1505","34470","33830"
"In post","2023","20-29","Digital, Data and Technology","Outside London","LGBO","190","190","33510","33510"
"In post","2023","20-29","Digital, Data and Technology","Outside London","Undeclared","160","160","34020","32690"
"In post","2023","20-29","Digital, Data and Technology","Outside London","Unknown","700","695","34260","32690"
"In post","2023","20-29","Digital, Data and Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Economics","London","Heterosexual / straight","600","595","42800","39450"
"In post","2023","20-29","Economics","London","LGBO","75","75","42350","37660"
"In post","2023","20-29","Economics","London","Undeclared","55","55","41910","39150"
"In post","2023","20-29","Economics","London","Unknown","210","210","41290","36710"
"In post","2023","20-29","Economics","Outside London","Heterosexual / straight","205","205","34680","34110"
"In post","2023","20-29","Economics","Outside London","LGBO","25","25","[c]","[c]"
"In post","2023","20-29","Economics","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2023","20-29","Economics","Outside London","Unknown","45","45","33560","31560"
"In post","2023","20-29","Economics","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","London","Heterosexual / straight","220","220","41250","38020"
"In post","2023","20-29","Finance","London","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Finance","London","Undeclared","25","25","[c]","[c]"
"In post","2023","20-29","Finance","London","Unknown","130","130","38280","35410"
"In post","2023","20-29","Finance","Outside London","Heterosexual / straight","695","690","31260","29140"
"In post","2023","20-29","Finance","Outside London","LGBO","65","60","32480","28540"
"In post","2023","20-29","Finance","Outside London","Undeclared","45","45","30480","27140"
"In post","2023","20-29","Finance","Outside London","Unknown","225","215","29090","27080"
"In post","2023","20-29","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Geography","Outside London","Heterosexual / straight","50","50","29310","27610"
"In post","2023","20-29","Geography","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Geography","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Geography","Outside London","Unknown","40","40","25480","27610"
"In post","2023","20-29","Human Resources","London","Heterosexual / straight","330","330","39420","36180"
"In post","2023","20-29","Human Resources","London","LGBO","55","55","42280","38020"
"In post","2023","20-29","Human Resources","London","Undeclared","35","35","37840","34010"
"In post","2023","20-29","Human Resources","London","Unknown","80","80","36430","32970"
"In post","2023","20-29","Human Resources","Outside London","Heterosexual / straight","685","675","30120","28120"
"In post","2023","20-29","Human Resources","Outside London","LGBO","85","85","29950","28000"
"In post","2023","20-29","Human Resources","Outside London","Undeclared","50","50","29920","28120"
"In post","2023","20-29","Human Resources","Outside London","Unknown","205","205","27920","27080"
"In post","2023","20-29","Human Resources","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Inspector of Education and Training","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Inspector of Education and Training","Outside London","LGBO","[c]","[c]","[c]","[c]"
