"Status","Year","Age","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Female","20","20","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Male","65","65","19220","18780"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Male","10","10","[c]","[c]"
"In post","2023","16-19","Bedford","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedford","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","AA/AO","Female","20","20","[c]","[c]"
"In post","2023","16-19","Birmingham","AA/AO","Male","20","15","[c]","[c]"
"In post","2023","16-19","Birmingham","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Birmingham","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","Unknown","Male","[c]","[c]","[c]","[c]"
