"Status","Year","Region_ITL3","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Female","Heterosexual / straight","590","530","36130","31580"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Female","LGBO","45","40","35830","31540"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Female","Undeclared","55","50","36460","28120"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Female","Unknown","270","245","32280","29100"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Male","Heterosexual / straight","565","545","44340","37060"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Male","LGBO","30","30","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Male","Undeclared","70","65","46520","38330"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Male","Unknown","285","275","36980","34240"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","Female","Heterosexual / straight","925","850","30390","28120"
"In post","2023","Angus and Dundee City","Outside London","Female","LGBO","75","70","27480","24890"
"In post","2023","Angus and Dundee City","Outside London","Female","Undeclared","55","50","27290","28120"
"In post","2023","Angus and Dundee City","Outside London","Female","Unknown","495","450","27760","24890"
"In post","2023","Angus and Dundee City","Outside London","Male","Heterosexual / straight","560","540","30450","28120"
"In post","2023","Angus and Dundee City","Outside London","Male","LGBO","65","65","29120","28120"
"In post","2023","Angus and Dundee City","Outside London","Male","Undeclared","50","50","26560","23340"
"In post","2023","Angus and Dundee City","Outside London","Male","Unknown","310","300","27390","25710"
"In post","2023","Angus and Dundee City","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","Female","Heterosexual / straight","45","45","33210","28220"
"In post","2023","Antrim and Newtownabbey","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","Female","Unknown","10","5","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","Male","Heterosexual / straight","120","115","24350","22130"
"In post","2023","Antrim and Newtownabbey","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","Female","Heterosexual / straight","45","40","33280","26300"
"In post","2023","Ards and North Down","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","Male","Heterosexual / straight","140","140","25870","22130"
"In post","2023","Ards and North Down","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","Female","Heterosexual / straight","295","260","33170","32520"
"In post","2023","Barking & Dagenham and Havering","London","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","Female","Undeclared","35","30","31530","32520"
"In post","2023","Barking & Dagenham and Havering","London","Female","Unknown","60","50","31950","32520"
"In post","2023","Barking & Dagenham and Havering","London","Male","Heterosexual / straight","165","160","34090","32520"
"In post","2023","Barking & Dagenham and Havering","London","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","Male","Undeclared","15","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","Male","Unknown","50","50","33360","32520"
"In post","2023","Barking & Dagenham and Havering","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","London","Female","Heterosexual / straight","680","635","39120","33330"
"In post","2023","Barnet","London","Female","LGBO","30","30","39580","33330"
"In post","2023","Barnet","London","Female","Undeclared","85","80","40150","35410"
"In post","2023","Barnet","London","Female","Unknown","235","215","44400","35300"
"In post","2023","Barnet","London","Male","Heterosexual / straight","405","395","42260","34600"
"In post","2023","Barnet","London","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Barnet","London","Male","Undeclared","65","65","46490","41080"
"In post","2023","Barnet","London","Male","Unknown","150","150","45460","40880"
"In post","2023","Barnet","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Female","Heterosexual / straight","1400","1210","28860","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Female","LGBO","75","75","31370","28480"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Female","Undeclared","125","110","27660","27450"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Female","Unknown","300","255","26720","26840"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Male","Heterosexual / straight","785","750","32010","31510"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Male","LGBO","65","65","28430","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Male","Undeclared","110","100","33380","32920"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Male","Unknown","195","185","30260","28880"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","Heterosexual / straight","4440","4110","38070","34300"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","LGBO","205","200","35540","32550"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","Undeclared","500","460","38640","35460"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","Unknown","580","540","33340","30740"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","Heterosexual / straight","6325","6205","42990","41200"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","LGBO","245","245","37580","34660"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","Undeclared","805","780","44470","42620"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","Unknown","815","795","36790","32550"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","Outside London","Female","Heterosexual / straight","370","340","30850","28120"
"In post","2023","Bedford","Outside London","Female","LGBO","30","30","30150","30880"
"In post","2023","Bedford","Outside London","Female","Undeclared","45","40","34620","30500"
"In post","2023","Bedford","Outside London","Female","Unknown","85","70","30590","28800"
"In post","2023","Bedford","Outside London","Male","Heterosexual / straight","250","240","34480","30880"
"In post","2023","Bedford","Outside London","Male","LGBO","15","15","[c]","[c]"
