"Status","Year","Disability","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","AO","40","40","24540","22200"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","EO","55","50","30000","28120"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","AA","55","50","23410","23340"
"In post","2023","Declared disabled","Angus and Dundee City","AO","115","100","22170","21690"
"In post","2023","Declared disabled","Angus and Dundee City","EO","130","120","28770","28120"
"In post","2023","Declared disabled","Angus and Dundee City","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","HEO","30","30","35450","34730"
"In post","2023","Declared disabled","Angus and Dundee City","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","G7","[c]","[c]","[c]","[c]"
