"Status","Year","Age","Parent_department","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Leeds","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Westminster","London","10","10","23200","20980"
"In post","2023","16-19","Cabinet Office","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Devon CC","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Westminster","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Westminster","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Swansea","Outside London","80","70","20770","19000"
