"Status","Year","Disability","Function_of_post","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Inner London - East","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","South Yorkshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
