"Status","Year","Function_of_post","Organisation","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","Heterosexual / straight","65","65","36500","35700"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G7","Heterosexual / straight","45","45","56850","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","HEO","Heterosexual / straight","35","35","39670","39620"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","G6","Heterosexual / straight","35","30","66450","65780"
"In post","2023","Analysis","Department for Education (excl. agencies)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","G7","Heterosexual / straight","110","105","54370","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","HEO","Heterosexual / straight","85","80","34850","33950"
"In post","2023","Analysis","Department for Education (excl. agencies)","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","SEO","Heterosexual / straight","180","170","44100","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","SEO","Undeclared","20","15","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","SEO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G7","Heterosexual / straight","65","65","56370","55500"
"In post","2023","Analysis","Department for International Trade","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G7","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","HEO","Heterosexual / straight","40","40","35090","35010"
"In post","2023","Analysis","Department for International Trade","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","Heterosexual / straight","80","75","55730","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","Heterosexual / straight","55","55","33170","33880"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G6","Heterosexual / straight","30","30","68610","67720"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G7","Heterosexual / straight","90","85","56200","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G7","Undeclared","10","10","[c]","[c]"
