"Status","Year","Ethnicity","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","AO","5","5","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","EO","10","10","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Aberdeen City and Aberdeenshire","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","AA","15","15","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","AO","10","10","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","EO","15","10","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Angus and Dundee City","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Antrim and Newtownabbey","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ards and North Down","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Armagh City, Banbridge and Craigavon","AO","[c]","[c]","[c]","[c]"
