"Status","Year","Organisation","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","SEO/HEO","35","35","40550","38330"
"In post","2023","Accountant in Bankruptcy","Glasgow City","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Swansea","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Westminster","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","Outside London","G6/G7","10","10","56140","51770"
"In post","2023","Active Travel England","York","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","Outside London","SEO/HEO","15","15","38360","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","EO","20","20","25590","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","SEO/HEO","50","45","35780","32650"
"In post","2023","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","SEO/HEO","30","25","34950","32400"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","EO","30","30","25600","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","SEO/HEO","45","45","34590","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Central Hampshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Merseyside","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","EO","30","30","25530","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","SEO/HEO","60","50","35420","32830"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester North West","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester South East","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Hartlepool and Stockton-on-Tees","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Kent Thames Gateway","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","EO","20","20","25650","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","SEO/HEO","45","40","35310","33940"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","EO","55","55","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","SEO/HEO","75","70","35400","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Medway","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Kent","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Lancashire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","SEO/HEO","10","10","39330","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Northamptonshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","AA/AO","15","10","20930","20790"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","EO","35","35","25290","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","SEO/HEO","50","45","34660","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Oxfordshire CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Perth and Kinross, and Stirling","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Sefton","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West Wales","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Staffordshire CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","Outside London","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","Outside London","SEO/HEO","25","25","35610","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Swansea","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Thurrock","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","EO","55","50","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","SEO/HEO","75","70","34680","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Warwickshire CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Kent","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","London","EO","25","20","29820","30330"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","London","G6/G7","25","25","63350","61670"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","London","SEO/HEO","105","100","42380","39360"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Breckland and South Norfolk","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","Outside London","AA/AO","55","55","22150","22150"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","Outside London","EO","10","10","[c]","[c]"
