"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AA/AO","AO","410","385","24240","24480"
"In post","2023","Attorney General's Departments","London","EO","EO","805","770","29240","28410"
"In post","2023","Attorney General's Departments","London","G6/G7","G6","955","875","70260","68280"
"In post","2023","Attorney General's Departments","London","G6/G7","G7","1640","1545","57160","54230"
"In post","2023","Attorney General's Departments","London","SCS level","SCS level","265","255","88840","82560"
"In post","2023","Attorney General's Departments","London","SEO/HEO","HEO","435","420","36030","34450"
"In post","2023","Attorney General's Departments","London","SEO/HEO","SEO","315","305","41430","40800"
"In post","2023","Attorney General's Departments","Outside London","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","AA/AO","AO","1230","1135","22910","22870"
"In post","2023","Attorney General's Departments","Outside London","EO","EO","1190","1110","28110","28200"
"In post","2023","Attorney General's Departments","Outside London","G6/G7","G6","240","230","71480","69700"
"In post","2023","Attorney General's Departments","Outside London","G6/G7","G7","2285","2100","55700","55170"
"In post","2023","Attorney General's Departments","Outside London","SCS level","SCS level","65","65","91550","86410"
"In post","2023","Attorney General's Departments","Outside London","SEO/HEO","HEO","485","465","33350","32660"
"In post","2023","Attorney General's Departments","Outside London","SEO/HEO","SEO","400","390","39780","38940"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","AA/AO","AO","100","100","25330","25280"
"In post","2023","Cabinet Office","London","EO","EO","355","345","28810","28370"
"In post","2023","Cabinet Office","London","G6/G7","G6","685","680","70250","66560"
"In post","2023","Cabinet Office","London","G6/G7","G7","1595","1560","58500","56430"
"In post","2023","Cabinet Office","London","SCS level","SCS level","525","515","103100","95070"
"In post","2023","Cabinet Office","London","SEO/HEO","HEO","1725","1715","32380","32960"
"In post","2023","Cabinet Office","London","SEO/HEO","SEO","595","590","42220","41870"
"In post","2023","Cabinet Office","Outside London","AA/AO","AO","340","310","21740","21720"
"In post","2023","Cabinet Office","Outside London","EO","EO","465","440","25820","26030"
"In post","2023","Cabinet Office","Outside London","G6/G7","G6","420","415","70620","66270"
"In post","2023","Cabinet Office","Outside London","G6/G7","G7","1100","1075","57300","56000"
"In post","2023","Cabinet Office","Outside London","SCS level","SCS level","190","185","104260","98340"
"In post","2023","Cabinet Office","Outside London","SEO/HEO","HEO","1260","1235","32290","32960"
"In post","2023","Cabinet Office","Outside London","SEO/HEO","SEO","685","670","39450","39860"
"In post","2023","Cabinet Office","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
