"Status","Year","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AA","Heterosexual / straight","30","25","23570","23340"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AA","Unknown","50","40","23030","22920"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AO","Heterosexual / straight","225","205","28310","25010"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AO","LGBO","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AO","Undeclared","30","30","31050","22450"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","AO","Unknown","165","160","29190","27740"
"In post","2023","Aberdeen City and Aberdeenshire","EO","EO","Heterosexual / straight","375","345","30710","29370"
"In post","2023","Aberdeen City and Aberdeenshire","EO","EO","LGBO","30","25","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","EO","EO","Undeclared","40","40","29420","28120"
"In post","2023","Aberdeen City and Aberdeenshire","EO","EO","Unknown","190","180","32630","31940"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G7","Heterosexual / straight","95","90","64050","58850"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","G7","Unknown","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Heterosexual / straight","195","185","38070","36330"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Undeclared","20","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Unknown","80","75","37720","38170"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Heterosexual / straight","210","200","58290","49860"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Unknown","50","45","53210","49860"
"In post","2023","Angus and Dundee City","AA/AO","AA","Heterosexual / straight","215","200","23260","23340"
