"Status","Year","Disability","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA","35","30","22140","22200"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AO","100","90","26430","25480"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","EO","235","210","30160","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G7","30","25","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","HEO","65","60","37020","37520"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO","45","40","45520","44210"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","90","80","31650","30810"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","55","55","21960","21720"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","260","240","28070","25700"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","315","295","30300","28540"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","55","55","58440","57970"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","180","170","35880","34640"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","100","95","44660","43410"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","130","125","31780","29050"
"In post","2023","Declared disabled","Cheshire","AA","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","AO","150","130","24080","22150"
"In post","2023","Declared disabled","Cheshire","EO","170","150","29230","28120"
"In post","2023","Declared disabled","Cheshire","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","G7","30","30","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","HEO","65","60","36150","34300"
"In post","2023","Declared disabled","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","SEO","50","50","42480","41250"
"In post","2023","Declared disabled","Cheshire","Unknown","60","55","29490","27130"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AO","90","80","21950","21690"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","EO","85","75","28020","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G6","[c]","[c]","[c]","[c]"
