"Status","Year","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","125","115","34020","31940"
"In post","2023","Active Travel England","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","10","10","50950","51650"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","15","15","48140","40560"
"In post","2023","Active Travel England","Department for Transport","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","20","15","38750","36280"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","65","60","46420","45070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","20","20","37480","26260"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","25","25","39940","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","845","770","32880","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","10","10","46650","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","10","10","40370","41070"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","15","15","38540","37950"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","15","15","33390","30960"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","2110","2005","28780","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","25","25","36550","34140"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","35","30","35400","31660"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","575","550","33020","29080"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","320","300","43510","38920"
"In post","2023","Attorney General's Office","Attorney General's Departments","Communications","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Legal","20","20","57760","61980"
"In post","2023","Attorney General's Office","Attorney General's Departments","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Policy","10","10","51560","51620"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","15","15","49730","53010"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","10","10","44780","36900"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","20","20","45030","39040"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","50","50","40750","35620"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","120","115","48500","52760"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","165","160","56210","51290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Communications","150","150","51230","49730"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","25","25","58730","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","1030","1015","52430","56290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Economics","25","25","58290","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Finance","115","110","56040","41870"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","885","845","41840","38460"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","55","50","40090","35650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Legal","65","65","81520","81600"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Policy","380","375","50650","51290"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","85","85","56600","56400"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Property","25","25","63810","57650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Psychology","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Security","395","375","41290","34650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","2490","2425","46220","41410"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Commercial","90","90","30450","30130"
