"Status","Year","Age","Function_of_post","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - West","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department of Health and Social Care","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","23320","23340"
"In post","2023","16-19","Analysis","Ministry of Defence","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","East Wales","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","16-19","Commercial","Home Office","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scottish Government","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Chancellor's other departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department of Health and Social Care","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","East Wales","5","5","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Southern Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","West Yorkshire","15","15","22520","22520"
"In post","2023","16-19","Digital, Data & Technology","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Transport","West Wales and The Valleys","[c]","[c]","[c]","[c]"
