"Status","Year","Organisation","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","East Ayrshire and North Ayrshire mainland","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","York","5","5","[c]","[c]"
"In post","2023","Active Travel England","Policy","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","York","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","York","15","15","45350","40000"
"In post","2023","Active Travel England","Statistics","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Westminster","10","10","42200","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Glasgow City","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Tyneside","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Westminster","35","35","51300","49550"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Westminster","10","10","44970","39950"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Westminster","10","10","39040","38230"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Birmingham","60","55","32240","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Bristol, City of","35","35","33170","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Cardiff and Vale of Glamorgan","75","70","30780","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Glasgow City","85","75","31920","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Leeds","60","55","33250","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Manchester","135","125","31910","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North Hampshire","15","15","35080","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Nottingham","95","90","30080","29500"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Suffolk CC","35","35","34570","33680"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Tyneside","125","115","30690","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wandsworth","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Kent","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Westminster","80","75","41050","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","South Nottinghamshire","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","West Surrey","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Worcestershire CC","10","10","30720","30320"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Aberdeen City and Aberdeenshire","10","10","32000","26710"
