"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","G6","10","10","68640","66700"
"In post","2023","Analysis","Digital, Data and Technology","London","G7","25","25","57960","55720"
"In post","2023","Analysis","Digital, Data and Technology","London","HEO","25","25","35570","35410"
"In post","2023","Analysis","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","SEO","30","30","43770","43650"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","G7","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","AO","25","25","25020","23210"
"In post","2023","Analysis","Economics","London","EO","110","110","28710","28850"
"In post","2023","Analysis","Economics","London","G6","170","160","71460","70270"
"In post","2023","Analysis","Economics","London","G7","450","440","57900","56220"
"In post","2023","Analysis","Economics","London","HEO","405","405","36140","35410"
"In post","2023","Analysis","Economics","London","SCS level","80","75","93120","84240"
"In post","2023","Analysis","Economics","London","SEO","115","115","44620","44170"
"In post","2023","Analysis","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","AO","10","10","21710","21200"
"In post","2023","Analysis","Economics","North East (England)","EO","10","10","25090","24840"
"In post","2023","Analysis","Economics","North East (England)","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","HEO","15","15","32580","31560"
"In post","2023","Analysis","Economics","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","EO","20","20","26990","27650"
"In post","2023","Analysis","Economics","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","G7","20","20","55410","55190"
"In post","2023","Analysis","Economics","North West (England)","HEO","35","35","34630","34480"
"In post","2023","Analysis","Economics","North West (England)","SCS level","[c]","[c]","[c]","[c]"
