"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Outside London","AA/AO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Active Travel England","Outside London","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","SEO/HEO","Female","10","5","[c]","[c]"
"In post","2023","Active Travel England","Outside London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","EO","Female","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","EO","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G6/G7","Female","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","Female","60","55","41370","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","Male","50","50","43560","45240"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Female","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","EO","Female","160","140","25610","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","EO","Male","115","110","25480","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Female","290","260","34930","32730"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Male","205","190","35980","35190"
"In post","2023","Animal and Plant Health Agency","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","Male","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","AA/AO","Female","610","555","22880","22150"
