"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AA","Female","195","175","22120","23230"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AA","Male","200","190","22300","23230"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AO","Female","2090","1820","23630","22520"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AO","Male","1690","1620","25730","22520"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Female","2125","1905","28000","28120"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Male","1545","1485","28620","28120"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G6","Female","185","175","69600","69940"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G6","Male","155","150","72420","71300"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G7","Female","560","530","55970","56160"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G7","Male","550","535","57080","56870"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","Female","1355","1265","34220","34700"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","Male","1180","1155","34780","34850"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Female","40","40","89490","83090"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Male","40","35","93410","90220"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","Female","915","865","42760","42140"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","Male","635","620","42990","42510"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Female","690","625","29270","29050"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Male","210","200","31260","29050"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","Female","205","185","21420","19930"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","Male","115","110","22000","23230"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","Female","1380","1170","23350","21780"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","Male","905","865","26200","23890"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","Female","950","845","28120","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","Male","765","735","28940","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","Female","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","Male","30","30","74660","73100"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","Female","120","115","54720","52390"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","Male","90","85","56330","54260"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","Female","330","310","34080","34170"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","Male","280","270","36090","34850"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","Female","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","Female","185","175","43370","41260"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","Male","155","150","45100","42900"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Female","510","470","30040","29050"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Male","140","135","30460","29050"
"In post","2023","East Midlands (England)","Lincolnshire","AA","Female","150","140","21990","21380"
"In post","2023","East Midlands (England)","Lincolnshire","AA","Male","150","145","21680","21380"
"In post","2023","East Midlands (England)","Lincolnshire","AO","Female","530","475","23890","22220"
"In post","2023","East Midlands (England)","Lincolnshire","AO","Male","465","450","27420","28880"
"In post","2023","East Midlands (England)","Lincolnshire","EO","Female","390","350","28180","28120"
"In post","2023","East Midlands (England)","Lincolnshire","EO","Male","345","330","29440","28120"
"In post","2023","East Midlands (England)","Lincolnshire","G6","Female","20","15","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire","G6","Male","25","20","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire","G7","Female","40","40","54000","52390"
"In post","2023","East Midlands (England)","Lincolnshire","G7","Male","55","55","58440","56450"
"In post","2023","East Midlands (England)","Lincolnshire","HEO","Female","185","175","33970","33990"
"In post","2023","East Midlands (England)","Lincolnshire","HEO","Male","215","210","35360","34300"
"In post","2023","East Midlands (England)","Lincolnshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire","SEO","Female","115","110","43520","41200"
"In post","2023","East Midlands (England)","Lincolnshire","SEO","Male","140","140","44150","43360"
"In post","2023","East Midlands (England)","Lincolnshire","Unknown","Female","195","185","29810","26840"
"In post","2023","East Midlands (England)","Lincolnshire","Unknown","Male","60","60","29410","26840"
"In post","2023","East of England","Bedfordshire and Hertfordshire","AA","Female","130","110","22020","23000"
"In post","2023","East of England","Bedfordshire and Hertfordshire","AA","Male","130","125","22760","23230"
"In post","2023","East of England","Bedfordshire and Hertfordshire","AO","Female","575","510","25930","25480"
"In post","2023","East of England","Bedfordshire and Hertfordshire","AO","Male","410","400","28990","30880"
"In post","2023","East of England","Bedfordshire and Hertfordshire","EO","Female","860","765","29920","30120"
"In post","2023","East of England","Bedfordshire and Hertfordshire","EO","Male","625","595","30240","30120"
