"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","AO","45","45","22100","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","EO","25","25","28140","28850"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","G7","65","60","53420","52440"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","SEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","G7","15","15","56150","56450"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Northamptonshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","AO","[c]","[c]","[c]","[c]"
