"Status","Year","Age","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","London","20","20","27850","28510"
"In post","2023","16-19","Analysis","Outside London","40","40","24350","24840"
"In post","2023","16-19","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","10","10","23200","22520"
"In post","2023","16-19","Debt","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Outside London","55","50","22390","22520"
"In post","2023","16-19","Digital, Data & Technology","London","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Outside London","35","35","23390","22500"
"In post","2023","16-19","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","35","30","21970","22520"
"In post","2023","16-19","Grants Management","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","20","20","23500","22220"
"In post","2023","16-19","Legal","London","10","10","[c]","[c]"
"In post","2023","16-19","Legal","Outside London","50","50","21250","20980"
"In post","2023","16-19","No function","London","70","70","27490","26400"
"In post","2023","16-19","No function","Outside London","845","810","23240","22520"
"In post","2023","16-19","No function","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","35","35","20700","19430"
"In post","2023","16-19","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Outside London","45","45","22710","22520"
"In post","2023","16-19","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Security","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","85","85","22570","22180"
"In post","2023","16-19","Unknown","Unknown","30","30","19370","17400"
"In post","2023","20-29","Analysis","London","1930","1920","40680","38660"
"In post","2023","20-29","Analysis","Outside London","1765","1755","34280","32170"
"In post","2023","20-29","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","London","370","370","41470","36310"
"In post","2023","20-29","Commercial","Outside London","830","825","32860","31640"
"In post","2023","20-29","Commercial","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","London","585","580","38430","37610"
"In post","2023","20-29","Communications","Outside London","265","265","31950","31270"
"In post","2023","20-29","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","London","510","505","34210","32520"
"In post","2023","20-29","Counter Fraud","Outside London","1485","1470","29460","28120"
"In post","2023","20-29","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","London","110","110","27330","26920"
"In post","2023","20-29","Debt","Outside London","1610","1555","23170","22520"
"In post","2023","20-29","Digital, Data & Technology","London","975","970","39980","37850"
"In post","2023","20-29","Digital, Data & Technology","Outside London","3010","2985","33830","32690"
"In post","2023","20-29","Digital, Data & Technology","Overseas","15","15","34170","32070"
"In post","2023","20-29","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Finance","London","475","475","40460","39050"
"In post","2023","20-29","Finance","Outside London","1240","1215","30530","28120"
"In post","2023","20-29","Finance","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","London","15","15","45710","43210"
"In post","2023","20-29","Grants Management","Outside London","410","400","23540","22150"
"In post","2023","20-29","Human Resources","London","530","525","38910","35410"
"In post","2023","20-29","Human Resources","Outside London","1135","1120","30210","28120"
"In post","2023","20-29","Human Resources","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","London","20","20","38110","35500"
"In post","2023","20-29","Internal Audit","Outside London","30","30","32040","31940"
"In post","2023","20-29","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","London","780","775","34900","30160"
"In post","2023","20-29","Legal","Outside London","1195","1185","31250","26900"
"In post","2023","20-29","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","No function","London","13915","13815","38560","35410"
"In post","2023","20-29","No function","Outside London","39900","39105","27360","26680"
"In post","2023","20-29","No function","Overseas","270","270","38470","34220"
"In post","2023","20-29","No function","Unknown","110","110","29750","27580"
"In post","2023","20-29","Project Delivery","London","1050","1045","39850","37560"
"In post","2023","20-29","Project Delivery","Outside London","2270","2255","32830","31920"
"In post","2023","20-29","Project Delivery","Overseas","15","15","40780","38600"
"In post","2023","20-29","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Property","London","210","210","35730","32650"
"In post","2023","20-29","Property","Outside London","895","880","28700","26890"
"In post","2023","20-29","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Security","London","265","260","37610","36620"
"In post","2023","20-29","Security","Outside London","1005","1005","28440","27480"
"In post","2023","20-29","Security","Overseas","10","10","40320","39020"
"In post","2023","20-29","Security","Unknown","25","25","25410","24610"
"In post","2023","20-29","Unknown","London","965","965","33300","30130"
"In post","2023","20-29","Unknown","Outside London","4500","4445","31070","29450"
"In post","2023","20-29","Unknown","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Unknown","380","380","32310","33120"
"In post","2023","30-39","Analysis","London","1180","1145","54940","55720"
"In post","2023","30-39","Analysis","Outside London","1695","1630","42050","39770"
"In post","2023","30-39","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Commercial","London","380","375","54980","55230"
"In post","2023","30-39","Commercial","Outside London","1375","1330","41730","39360"
"In post","2023","30-39","Commercial","Overseas","10","10","62250","58690"
"In post","2023","30-39","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Communications","London","740","725","51330","49410"
"In post","2023","30-39","Communications","Outside London","480","460","37830","35300"
"In post","2023","30-39","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","London","660","650","39130","39110"
"In post","2023","30-39","Counter Fraud","Outside London","2870","2760","32950","28130"
"In post","2023","30-39","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2023","30-39","Debt","London","65","55","27680","26920"
"In post","2023","30-39","Debt","Outside London","1525","1395","24160","22520"
"In post","2023","30-39","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","London","1460","1435","51130","52760"
"In post","2023","30-39","Digital, Data & Technology","Outside London","4925","4825","40650","38470"
"In post","2023","30-39","Digital, Data & Technology","Overseas","15","15","40380","38050"
"In post","2023","30-39","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2023","30-39","Finance","London","730","715","52790","54440"
"In post","2023","30-39","Finance","Outside London","1895","1815","38070","34960"
"In post","2023","30-39","Finance","Overseas","10","10","56480","54000"
"In post","2023","30-39","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Grants Management","London","20","20","53240","59000"
"In post","2023","30-39","Grants Management","Outside London","470","440","25190","22150"
"In post","2023","30-39","Human Resources","London","705","685","47390","43650"
"In post","2023","30-39","Human Resources","Outside London","2255","2150","36140","34170"
"In post","2023","30-39","Human Resources","Overseas","45","45","51190","51470"
"In post","2023","30-39","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2023","30-39","Internal Audit","London","35","35","50660","46370"
"In post","2023","30-39","Internal Audit","Outside London","95","90","43190","42510"
"In post","2023","30-39","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Legal","London","1410","1360","53310","53390"
"In post","2023","30-39","Legal","Outside London","1735","1645","45000","49050"
"In post","2023","30-39","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","30-39","No function","London","15585","15145","46160","42750"
"In post","2023","30-39","No function","Outside London","56900","53635","30960","28130"
"In post","2023","30-39","No function","Overseas","805","805","49930","53050"
"In post","2023","30-39","No function","Unknown","140","135","31370","28120"
"In post","2023","30-39","Project Delivery","London","1360","1330","53310","54960"
"In post","2023","30-39","Project Delivery","Outside London","3785","3675","41630","39890"
"In post","2023","30-39","Project Delivery","Overseas","55","55","52720","52700"
"In post","2023","30-39","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Property","London","185","185","45760","43650"
"In post","2023","30-39","Property","Outside London","1230","1190","34890","32970"
"In post","2023","30-39","Property","Overseas","5","5","[c]","[c]"
"In post","2023","30-39","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Security","London","335","330","45120","43470"
"In post","2023","30-39","Security","Outside London","1515","1500","33360","31350"
"In post","2023","30-39","Security","Overseas","40","40","41470","38540"
"In post","2023","30-39","Security","Unknown","15","15","28020","24610"
"In post","2023","30-39","Unknown","London","360","350","49440","50850"
"In post","2023","30-39","Unknown","Outside London","6785","6520","39610","37710"
"In post","2023","30-39","Unknown","Overseas","30","30","56630","56040"
"In post","2023","30-39","Unknown","Unknown","380","380","42150","41300"
"In post","2023","40-49","Analysis","London","740","695","61290","60430"
"In post","2023","40-49","Analysis","Outside London","1295","1215","45880","43760"
"In post","2023","40-49","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","London","460","450","65030","62720"
"In post","2023","40-49","Commercial","Outside London","1435","1385","48040","42620"
"In post","2023","40-49","Commercial","Overseas","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","London","490","470","57410","55160"
"In post","2023","40-49","Communications","Outside London","555","515","42210","40640"
"In post","2023","40-49","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","London","750","720","40870","39450"
"In post","2023","40-49","Counter Fraud","Outside London","3005","2840","33800","31280"
"In post","2023","40-49","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","Debt","London","90","85","30480","26920"
"In post","2023","40-49","Debt","Outside London","1365","1210","24560","22520"
"In post","2023","40-49","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","London","1435","1405","54820","55720"
"In post","2023","40-49","Digital, Data & Technology","Outside London","5535","5400","44600","41780"
"In post","2023","40-49","Digital, Data & Technology","Overseas","15","15","43310","41480"
"In post","2023","40-49","Digital, Data & Technology","Unknown","10","10","50110","50160"
"In post","2023","40-49","Finance","London","765","740","54380","50410"
"In post","2023","40-49","Finance","Outside London","2465","2350","41110","38470"
"In post","2023","40-49","Finance","Overseas","10","10","52650","54660"
"In post","2023","40-49","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Grants Management","London","15","15","56740","59290"
"In post","2023","40-49","Grants Management","Outside London","760","690","26370","22150"
"In post","2023","40-49","Human Resources","London","725","695","52000","46740"
"In post","2023","40-49","Human Resources","Outside London","2715","2595","38730","34450"
"In post","2023","40-49","Human Resources","Overseas","100","95","60010","59910"
"In post","2023","40-49","Human Resources","Unknown","10","10","45200","41510"
"In post","2023","40-49","Internal Audit","London","45","45","54400","54910"
"In post","2023","40-49","Internal Audit","Outside London","135","130","47170","44590"
"In post","2023","40-49","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","London","1430","1310","60060","64680"
"In post","2023","40-49","Legal","Outside London","2065","1905","47080","50460"
"In post","2023","40-49","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","London","13255","12575","47230","41750"
"In post","2023","40-49","No function","Outside London","58365","54165","32430","28120"
"In post","2023","40-49","No function","Overseas","815","815","57730","57720"
"In post","2023","40-49","No function","Unknown","170","165","35730","28120"
"In post","2023","40-49","Project Delivery","London","1290","1245","60500","60030"
"In post","2023","40-49","Project Delivery","Outside London","4260","4115","45780","42230"
"In post","2023","40-49","Project Delivery","Overseas","40","40","59970","57910"
"In post","2023","40-49","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Property","London","295","285","48370","43650"
"In post","2023","40-49","Property","Outside London","1625","1565","37980","34440"
"In post","2023","40-49","Property","Overseas","15","15","49280","44680"
"In post","2023","40-49","Property","Unknown","10","10","46940","45580"
"In post","2023","40-49","Security","London","405","395","49510","45590"
"In post","2023","40-49","Security","Outside London","1680","1655","35120","34300"
"In post","2023","40-49","Security","Overseas","35","35","40560","37470"
"In post","2023","40-49","Security","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","London","265","250","56760","55290"
"In post","2023","40-49","Unknown","Outside London","7055","6730","46130","41700"
"In post","2023","40-49","Unknown","Overseas","20","20","66070","63900"
"In post","2023","40-49","Unknown","Unknown","320","320","45900","41630"
"In post","2023","50-59","Analysis","London","440","420","60620","59570"
"In post","2023","50-59","Analysis","Outside London","850","810","45760","42510"
