"Status","Year","Ethnicity","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Finance","Outside London","Female","285","265","35110","31280"
"In post","2023","Asian","Finance","Outside London","Male","290","290","36660","34170"
"In post","2023","Asian","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","Outside London","Female","35","30","24150","22150"
"In post","2023","Asian","Grants Management","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Asian","Grants Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","London","Female","295","280","42030","39150"
"In post","2023","Asian","Human Resources","London","Male","115","115","40830","36720"
"In post","2023","Asian","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Outside London","Female","245","230","34860","32600"
"In post","2023","Asian","Human Resources","Outside London","Male","130","130","33480","31060"
"In post","2023","Asian","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","Female","35","30","46000","46200"
"In post","2023","Asian","Internal Audit","London","Male","25","25","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","Female","25","20","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Asian","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","London","Female","555","515","47560","52020"
"In post","2023","Asian","Legal","London","Male","230","225","48130","52020"
"In post","2023","Asian","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Outside London","Female","420","385","39130","35000"
"In post","2023","Asian","Legal","Outside London","Male","210","205","42180","40540"
"In post","2023","Asian","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","London","Female","5620","5140","37210","32520"
"In post","2023","Asian","No function","London","Male","3540","3445","38010","33050"
"In post","2023","Asian","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","Outside London","Female","7215","6365","28540","27650"
"In post","2023","Asian","No function","Outside London","Male","6320","6075","29820","28120"
"In post","2023","Asian","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","Overseas","Female","65","65","49720","52430"
"In post","2023","Asian","No function","Overseas","Male","85","85","53810","54520"
"In post","2023","Asian","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","Unknown","Female","25","25","[c]","[c]"
"In post","2023","Asian","No function","Unknown","Male","25","25","[c]","[c]"
"In post","2023","Asian","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","London","Female","445","430","47480","42580"
"In post","2023","Asian","Project Delivery","London","Male","285","280","48700","43650"
"In post","2023","Asian","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Outside London","Female","325","310","40480","37590"
"In post","2023","Asian","Project Delivery","Outside London","Male","385","380","41830","38740"
"In post","2023","Asian","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","London","Female","105","100","37430","33830"
"In post","2023","Asian","Property","London","Male","85","85","41030","38130"
"In post","2023","Asian","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Outside London","Female","100","95","33250","30740"
"In post","2023","Asian","Property","Outside London","Male","125","125","37110","32260"
"In post","2023","Asian","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","London","Female","100","90","39660","36180"
"In post","2023","Asian","Security","London","Male","135","135","36920","32920"
"In post","2023","Asian","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","Outside London","Female","40","40","30330","28120"
"In post","2023","Asian","Security","Outside London","Male","110","105","29110","27350"
"In post","2023","Asian","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","London","Female","170","165","37990","32960"
"In post","2023","Asian","Unknown","London","Male","75","75","39670","37380"
"In post","2023","Asian","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Outside London","Female","265","250","36890","33370"
"In post","2023","Asian","Unknown","Outside London","Male","215","210","40290","37380"
"In post","2023","Asian","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","London","Female","105","105","40700","39000"
"In post","2023","Black","Analysis","London","Male","60","60","42260","41480"
"In post","2023","Black","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","Outside London","Female","40","40","36670","31560"
"In post","2023","Black","Analysis","Outside London","Male","55","55","37510","35440"
"In post","2023","Black","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","London","Female","80","80","46480","42080"
"In post","2023","Black","Commercial","London","Male","40","40","57090","50550"
"In post","2023","Black","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Outside London","Female","50","50","38320","37060"
"In post","2023","Black","Commercial","Outside London","Male","45","45","42660","39860"
"In post","2023","Black","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","London","Female","65","65","40830","38410"
"In post","2023","Black","Communications","London","Male","25","25","[c]","[c]"
"In post","2023","Black","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Black","Communications","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Black","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","London","Female","320","300","33560","32520"
"In post","2023","Black","Counter Fraud","London","Male","150","145","34180","32520"
"In post","2023","Black","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","Outside London","Female","135","125","30000","28130"
