"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","EO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","SEO/HEO","Female","40","35","36400","36340"
"In post","2023","Analysis","East Midlands (England)","SEO/HEO","Male","40","40","37450","37150"
"In post","2023","Analysis","East of England","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","East of England","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","East of England","EO","Female","35","35","26020","25920"
"In post","2023","Analysis","East of England","EO","Male","20","20","[c]","[c]"
"In post","2023","Analysis","East of England","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Analysis","East of England","G6/G7","Male","60","60","54950","50970"
"In post","2023","Analysis","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","SEO/HEO","Female","120","110","34680","37300"
"In post","2023","Analysis","East of England","SEO/HEO","Male","115","115","35120","37300"
"In post","2023","Analysis","London","AA/AO","Female","40","40","24890","23560"
"In post","2023","Analysis","London","AA/AO","Male","35","35","24350","23500"
"In post","2023","Analysis","London","EO","Female","185","180","29580","29660"
"In post","2023","Analysis","London","EO","Male","170","165","30030","29890"
"In post","2023","Analysis","London","G6/G7","Female","775","720","63270","61310"
"In post","2023","Analysis","London","G6/G7","Male","995","980","64080","61220"
"In post","2023","Analysis","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","SCS level","Female","70","65","86730","81850"
"In post","2023","Analysis","London","SCS level","Male","90","90","95050","84240"
"In post","2023","Analysis","London","SEO/HEO","Female","945","925","39890","39450"
"In post","2023","Analysis","London","SEO/HEO","Male","1105","1095","39610","39150"
"In post","2023","Analysis","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Unknown","Male","[c]","[c]","[c]","[c]"
