"Status","Year","Age","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","East Midlands (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Asian","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
