"Status","Year","Ethnicity","Organisation","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","Inner London - West","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","Outer London - West and North West","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","North West (England)","Cumbria","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
