"Status","Year","Age","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","AA/AO","1160","1120","22970","22520"
"In post","2023","16-19","EO","170","170","26940","26070"
"In post","2023","16-19","SEO/HEO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","110","105","20600","19090"
"In post","2023","20-29","AA/AO","27365","26665","24660","22520"
"In post","2023","20-29","EO","21090","20840","28510","28120"
"In post","2023","20-29","G6/G7","5365","5345","56140","55120"
"In post","2023","20-29","SCS level","15","15","81010","74680"
"In post","2023","20-29","SEO/HEO","25945","25830","36290","35000"
"In post","2023","20-29","Unknown","5360","5250","26570","24570"
"In post","2023","30-39","AA/AO","25455","23470","25060","22520"
"In post","2023","30-39","EO","26805","25535","29000","28120"
"In post","2023","30-39","G6/G7","20500","19980","58860","56870"
"In post","2023","30-39","SCS level","1025","1000","81830","77450"
"In post","2023","30-39","SEO/HEO","36705","35715","38130","37680"
"In post","2023","30-39","Unknown","5845","5485","31560","30810"
"In post","2023","40-49","AA/AO","25095","22535","24300","22520"
"In post","2023","40-49","EO","26810","25000","28970","28120"
"In post","2023","40-49","G6/G7","22970","22140","61150","59290"
"In post","2023","40-49","SCS level","3005","2900","89440","81950"
"In post","2023","40-49","SEO/HEO","34595","33365","39070","38470"
"In post","2023","40-49","Unknown","5905","5500","35010","33340"
"In post","2023","50-59","AA/AO","36605","32995","23970","22500"
"In post","2023","50-59","EO","36920","34350","29350","28120"
"In post","2023","50-59","G6/G7","21310","20765","62310","59900"
"In post","2023","50-59","SCS level","2760","2705","96850","87940"
"In post","2023","50-59","SEO/HEO","38200","37005","39550","38760"
"In post","2023","50-59","Unknown","5810","5495","35320","31490"
"In post","2023","60-64","AA/AO","15115","12305","23400","22400"
"In post","2023","60-64","EO","11900","9555","29340","28120"
"In post","2023","60-64","G6/G7","4020","3535","63040","60850"
"In post","2023","60-64","SCS level","460","420","103170","96000"
"In post","2023","60-64","SEO/HEO","9505","8120","39650","38700"
