"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","AO","20","20","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","EO","40","35","27740","28120"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","HEO","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","AA","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","AO","130","110","26270","25610"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","140","130","31460","31280"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","G6","15","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","G7","30","30","59430","58320"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","HEO","60","55","37360","37940"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO","45","40","43870","42540"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","10","10","[c]","[c]"
