"Status","Year","Disability","Function_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Brent","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bristol, City of","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bromley","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Camden and City of London","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Hampshire","Outside London","90","90","45980","49260"
"In post","2023","Declared disabled","Analysis","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","City of Edinburgh","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Croydon","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Darlington","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon CC","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Fermanagh and Omagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
