"Status","Year","Age","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Economics","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Heterosexual / straight","445","430","23720","22520"
"In post","2023","16-19","Operational Delivery","LGBO","50","50","24090","22520"
"In post","2023","16-19","Operational Delivery","Undeclared","25","25","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","385","360","23590","22520"
"In post","2023","16-19","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
