"Status","Year","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Heterosexual / straight","7790","7345","44840","45230"
"In post","2023","Attorney General's Departments","LGBO","540","525","44400","40540"
"In post","2023","Attorney General's Departments","Undeclared","475","455","47060","49050"
"In post","2023","Attorney General's Departments","Unknown","1930","1745","49510","53750"
"In post","2023","Cabinet Office","Heterosexual / straight","6245","6085","50830","43890"
"In post","2023","Cabinet Office","LGBO","625","620","46260","41870"
"In post","2023","Cabinet Office","Undeclared","605","590","50270","51160"
"In post","2023","Cabinet Office","Unknown","2740","2705","43710","32960"
"In post","2023","Chancellor's other departments","Heterosexual / straight","315","300","60950","51420"
"In post","2023","Chancellor's other departments","LGBO","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Undeclared","80","80","60120","54440"
"In post","2023","Chancellor's other departments","Unknown","15","15","[c]","[c]"
"In post","2023","Charity Commission","Heterosexual / straight","280","265","36650","30170"
"In post","2023","Charity Commission","LGBO","25","25","[c]","[c]"
"In post","2023","Charity Commission","Undeclared","15","15","[c]","[c]"
"In post","2023","Charity Commission","Unknown","180","170","34910","30170"
"In post","2023","Competition and Markets Authority","Heterosexual / straight","735","710","62070","58000"
"In post","2023","Competition and Markets Authority","LGBO","70","65","60060","57790"
"In post","2023","Competition and Markets Authority","Undeclared","85","80","66160","61670"
"In post","2023","Competition and Markets Authority","Unknown","20","20","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","9990","9575","43890","41070"
"In post","2023","Department for Business, Energy and Industrial Strategy","LGBO","875","865","42850","41060"
"In post","2023","Department for Business, Energy and Industrial Strategy","Undeclared","1335","1280","44150","41300"
"In post","2023","Department for Business, Energy and Industrial Strategy","Unknown","2210","2110","38970","35570"
"In post","2023","Department for Digital, Culture, Media and Sport","Heterosexual / straight","1370","1345","50010","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","LGBO","225","225","47810","51750"
"In post","2023","Department for Digital, Culture, Media and Sport","Undeclared","145","145","45140","39620"
"In post","2023","Department for Digital, Culture, Media and Sport","Unknown","195","195","45950","41360"
"In post","2023","Department for Education","Heterosexual / straight","6405","6165","45510","41720"
"In post","2023","Department for Education","LGBO","535","525","44390","38210"
"In post","2023","Department for Education","Undeclared","645","625","45600","42170"
"In post","2023","Department for Education","Unknown","900","870","45780","41700"
"In post","2023","Department for Environment, Food and Rural Affairs","Heterosexual / straight","9140","8710","37150","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","LGBO","820","800","36470","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","Undeclared","1130","1070","36010","32540"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","1985","1875","35490","30820"
"In post","2023","Department for International Trade","Heterosexual / straight","2190","2155","48800","43390"
"In post","2023","Department for International Trade","LGBO","255","255","47270","41550"
"In post","2023","Department for International Trade","Undeclared","185","180","49140","47120"
"In post","2023","Department for International Trade","Unknown","905","895","48060","42460"
"In post","2023","Department for Levelling Up, Housing and Communities","Heterosexual / straight","3080","2960","48310","48660"
"In post","2023","Department for Levelling Up, Housing and Communities","LGBO","335","330","46930","43740"
"In post","2023","Department for Levelling Up, Housing and Communities","Undeclared","320","305","47000","44180"
"In post","2023","Department for Levelling Up, Housing and Communities","Unknown","445","425","44300","40390"
"In post","2023","Department for Transport","Heterosexual / straight","10480","9810","35400","30720"
"In post","2023","Department for Transport","LGBO","720","705","36830","31350"
"In post","2023","Department for Transport","Undeclared","2475","2170","31320","27450"
"In post","2023","Department for Transport","Unknown","2710","2570","33100","27400"
"In post","2023","Department for Work and Pensions","Heterosexual / straight","62000","55815","30140","28120"
"In post","2023","Department for Work and Pensions","LGBO","3885","3700","29990","28120"
"In post","2023","Department for Work and Pensions","Undeclared","7510","6665","29590","28120"
"In post","2023","Department for Work and Pensions","Unknown","14375","12435","29060","28120"
"In post","2023","Department of Health and Social Care","Heterosexual / straight","6090","5820","47680","41950"
"In post","2023","Department of Health and Social Care","LGBO","520","505","46970","41950"
"In post","2023","Department of Health and Social Care","Undeclared","1845","1770","48150","42580"
"In post","2023","Department of Health and Social Care","Unknown","1810","1720","48060","41780"
"In post","2023","Estyn","Heterosexual / straight","105","100","60660","78500"
"In post","2023","Estyn","LGBO","10","5","[c]","[c]"
"In post","2023","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Unknown","10","10","[c]","[c]"
"In post","2023","Food Standards Agency","Heterosexual / straight","1075","1045","39910","38100"
"In post","2023","Food Standards Agency","LGBO","75","75","41020","37720"
"In post","2023","Food Standards Agency","Undeclared","130","125","40930","38670"
"In post","2023","Food Standards Agency","Unknown","300","285","34150","29430"
"In post","2023","Foreign, Commonwealth and Development Office","Heterosexual / straight","5560","5425","49610","45410"
"In post","2023","Foreign, Commonwealth and Development Office","LGBO","435","435","48820","44450"
"In post","2023","Foreign, Commonwealth and Development Office","Undeclared","150","140","48670","45970"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","2655","2615","49200","47220"
"In post","2023","HM Land Registry","Heterosexual / straight","3870","3495","33500","28080"
"In post","2023","HM Land Registry","LGBO","190","180","30690","28080"
