"Status","Year","Disability","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","135","120","33090","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","Heterosexual / straight","310","295","29730","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","LGBO","50","50","27720","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","Undeclared","45","45","29740","27170"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","Heterosexual / straight","295","290","49730","43540"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","LGBO","75","75","49740","44050"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","Undeclared","50","45","51220","56430"
