"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","London","AA","Female","110","90","23850","23500"
"In post","2023","Asian","London","AA","Male","140","135","24330","23500"
"In post","2023","Asian","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","AO","Female","1310","1110","26070","25610"
"In post","2023","Asian","London","AO","Male","780","750","27400","26400"
"In post","2023","Asian","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","EO","Female","2640","2370","31190","31310"
"In post","2023","Asian","London","EO","Male","1665","1620","31290","31450"
"In post","2023","Asian","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","G6","Female","405","390","70440","68600"
"In post","2023","Asian","London","G6","Male","260","255","72370","70800"
"In post","2023","Asian","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","G7","Female","1220","1180","57990","56430"
"In post","2023","Asian","London","G7","Male","885","875","59310","59000"
"In post","2023","Asian","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","HEO","Female","1795","1740","36710","36180"
"In post","2023","Asian","London","HEO","Male","1265","1245","37050","36410"
"In post","2023","Asian","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","SCS level","Female","125","125","91760","81830"
"In post","2023","Asian","London","SCS level","Male","110","110","92830","86030"
"In post","2023","Asian","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","SEO","Female","1215","1180","43870","43560"
"In post","2023","Asian","London","SEO","Male","920","910","44640","43760"
"In post","2023","Asian","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","Unknown","Female","145","135","33540","33050"
"In post","2023","Asian","London","Unknown","Male","60","60","34260","29300"
"In post","2023","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","AA","Female","185","145","21510","21250"
"In post","2023","Asian","Outside London","AA","Male","235","220","22010","21380"
"In post","2023","Asian","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","AO","Female","3430","2870","22520","22150"
"In post","2023","Asian","Outside London","AO","Male","2735","2595","23240","22400"
"In post","2023","Asian","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","EO","Female","3255","2935","28000","28120"
"In post","2023","Asian","Outside London","EO","Male","2795","2725","28020","28120"
"In post","2023","Asian","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","G6","Female","125","120","69210","68610"
"In post","2023","Asian","Outside London","G6","Male","140","140","71560","69940"
"In post","2023","Asian","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","G7","Female","570","545","54670","53750"
"In post","2023","Asian","Outside London","G7","Male","665","655","55650","55090"
"In post","2023","Asian","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","HEO","Female","1505","1435","33900","34170"
"In post","2023","Asian","Outside London","HEO","Male","1675","1630","34400","34700"
"In post","2023","Asian","Outside London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","SCS level","Female","45","40","99080","102410"
"In post","2023","Asian","Outside London","SCS level","Male","45","45","96900","94180"
"In post","2023","Asian","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","SEO","Female","895","860","41350","41200"
"In post","2023","Asian","Outside London","SEO","Male","955","945","42560","42140"
"In post","2023","Asian","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
