"Status","Year","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Digital, Data & Technology","North West (England)","405","385","41190","38200"
"In post","2023","Declared disabled","Digital, Data & Technology","Northern Ireland","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Scotland","100","95","37550","34570"
"In post","2023","Declared disabled","Digital, Data & Technology","South East (England)","170","165","37270","34300"
"In post","2023","Declared disabled","Digital, Data & Technology","South West (England)","445","425","38260","37300"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Wales","160","150","39540","37300"
"In post","2023","Declared disabled","Digital, Data & Technology","West Midlands (England)","150","150","41140","37510"
"In post","2023","Declared disabled","Digital, Data & Technology","Yorkshire and The Humber","195","190","41700","37780"
"In post","2023","Declared disabled","Finance","East Midlands (England)","50","50","35920","35000"
"In post","2023","Declared disabled","Finance","East of England","30","30","36210","35260"
"In post","2023","Declared disabled","Finance","London","260","255","48260","43760"
"In post","2023","Declared disabled","Finance","North East (England)","75","65","38800","34400"
"In post","2023","Declared disabled","Finance","North West (England)","215","200","35480","34170"
"In post","2023","Declared disabled","Finance","Northern Ireland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Scotland","90","75","28950","22520"
"In post","2023","Declared disabled","Finance","South East (England)","120","110","34340","30430"
"In post","2023","Declared disabled","Finance","South West (England)","130","125","39980","35200"
"In post","2023","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Wales","45","40","39000","34170"
"In post","2023","Declared disabled","Finance","West Midlands (England)","55","55","40110","37570"
"In post","2023","Declared disabled","Finance","Yorkshire and The Humber","180","165","36960","34170"
"In post","2023","Declared disabled","Grants Management","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","East of England","5","5","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","North East (England)","75","70","25830","22150"
"In post","2023","Declared disabled","Grants Management","North West (England)","170","150","24950","22150"
"In post","2023","Declared disabled","Grants Management","South East (England)","25","20","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","South West (England)","50","45","26350","22150"
"In post","2023","Declared disabled","Grants Management","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","West Midlands (England)","25","20","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Yorkshire and The Humber","45","45","25680","22150"
"In post","2023","Declared disabled","Human Resources","East Midlands (England)","110","105","35060","34300"
"In post","2023","Declared disabled","Human Resources","East of England","65","60","38660","34300"
"In post","2023","Declared disabled","Human Resources","London","460","445","48440","43650"
"In post","2023","Declared disabled","Human Resources","North East (England)","135","120","32260","28130"
"In post","2023","Declared disabled","Human Resources","North West (England)","260","250","38470","34700"
"In post","2023","Declared disabled","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Scotland","105","95","35390","33600"
"In post","2023","Declared disabled","Human Resources","South East (England)","170","165","37630","34300"
"In post","2023","Declared disabled","Human Resources","South West (England)","235","220","36540","34140"
"In post","2023","Declared disabled","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Wales","110","105","37990","34700"
"In post","2023","Declared disabled","Human Resources","West Midlands (England)","145","140","35790","32570"
"In post","2023","Declared disabled","Human Resources","Yorkshire and The Humber","220","210","36830","34170"
"In post","2023","Declared disabled","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","North East (England)","5","5","[c]","[c]"
