"Status","Year","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","40","35","40900","38940"
"In post","2023","Attorney General's Departments","Communications","95","95","41690","40540"
"In post","2023","Attorney General's Departments","Corporate Finance","10","10","47560","40360"
"In post","2023","Attorney General's Departments","Counter Fraud","235","230","47500","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","205","200","45430","40590"
"In post","2023","Attorney General's Departments","Finance","235","220","33900","28200"
"In post","2023","Attorney General's Departments","Human Resources","260","250","40370","34170"
"In post","2023","Attorney General's Departments","Intelligence Analysis","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","85","80","42500","38940"
"In post","2023","Attorney General's Departments","Legal","5610","5220","57720","56450"
"In post","2023","Attorney General's Departments","Operational Delivery","3575","3340","28370","26900"
"In post","2023","Attorney General's Departments","Other","55","50","42560","30440"
"In post","2023","Attorney General's Departments","Policy","145","140","51560","52880"
"In post","2023","Attorney General's Departments","Project Delivery","105","100","41730","38940"
"In post","2023","Attorney General's Departments","Property","35","35","36490","33050"
"In post","2023","Attorney General's Departments","Security","30","30","37490","32660"
"In post","2023","Attorney General's Departments","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","1990","1960","64790","65500"
"In post","2023","Cabinet Office","Communications","185","185","49070","41870"
"In post","2023","Cabinet Office","Counter Fraud","25","25","58730","56430"
"In post","2023","Cabinet Office","Digital, Data and Technology","1345","1325","49400","51290"
"In post","2023","Cabinet Office","Economics","25","25","58290","56430"
"In post","2023","Cabinet Office","Finance","305","300","45670","36180"
"In post","2023","Cabinet Office","Human Resources","935","890","42020","38460"
"In post","2023","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","55","50","40090","35650"
"In post","2023","Cabinet Office","Legal","65","65","81520","81600"
"In post","2023","Cabinet Office","Operational Delivery","175","170","42260","40620"
"In post","2023","Cabinet Office","Other","15","15","58320","38420"
"In post","2023","Cabinet Office","Policy","400","390","50710","51290"
"In post","2023","Cabinet Office","Project Delivery","400","400","39510","32960"
"In post","2023","Cabinet Office","Property","280","275","48790","50200"
"In post","2023","Cabinet Office","Psychology","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","100","100","30250","30130"
"In post","2023","Cabinet Office","Security","400","385","42050","34650"
"In post","2023","Cabinet Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","120","120","32210","30130"
"In post","2023","Cabinet Office","Unknown","3375","3305","43070","34700"
"In post","2023","Chancellor's other departments","Commercial","15","15","46430","50190"
"In post","2023","Chancellor's other departments","Communications","25","25","47920","45000"
"In post","2023","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Digital, Data and Technology","15","15","56940","55920"
"In post","2023","Chancellor's other departments","Finance","30","30","51830","46780"
"In post","2023","Chancellor's other departments","Human Resources","15","15","45200","43990"
"In post","2023","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Operational Research","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Other","255","245","67540","61520"
"In post","2023","Chancellor's other departments","Project Delivery","35","35","51120","50940"
"In post","2023","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Security","5","5","[c]","[c]"
