"Status","Year","Age","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","London","AA/AO","Female","35","35","25530","25480"
"In post","2023","16-19","London","AA/AO","Male","35","35","26070","26400"
"In post","2023","16-19","London","EO","Female","30","30","[c]","[c]"
"In post","2023","16-19","London","EO","Male","20","20","[c]","[c]"
"In post","2023","16-19","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","AA/AO","Female","535","515","23050","22500"
"In post","2023","16-19","Outside London","AA/AO","Male","555","535","22530","22400"
"In post","2023","16-19","Outside London","EO","Female","55","55","26060","25790"
"In post","2023","16-19","Outside London","EO","Male","60","60","26420","25910"
"In post","2023","16-19","Outside London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","Unknown","Female","35","35","20190","19090"
"In post","2023","16-19","Outside London","Unknown","Male","40","40","21400","22750"
"In post","2023","16-19","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Male","20","20","[c]","[c]"
"In post","2023","20-29","London","AA/AO","Female","1390","1360","27930","26400"
"In post","2023","20-29","London","AA/AO","Male","955","950","28180","26400"
"In post","2023","20-29","London","EO","Female","2775","2745","30570","29890"
"In post","2023","20-29","London","EO","Male","1855","1845","30560","29890"
"In post","2023","20-29","London","G6/G7","Female","2030","2025","56980","55370"
"In post","2023","20-29","London","G6/G7","Male","1745","1740","57490","55720"
"In post","2023","20-29","London","SCS level","Female","10","10","[c]","[c]"
"In post","2023","20-29","London","SCS level","Male","5","5","[c]","[c]"
"In post","2023","20-29","London","SEO/HEO","Female","6500","6475","37800","36670"
"In post","2023","20-29","London","SEO/HEO","Male","4925","4910","37960","37240"
"In post","2023","20-29","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","Unknown","Female","395","385","29780","28580"
"In post","2023","20-29","London","Unknown","Male","110","110","28560","27640"
"In post","2023","20-29","Outside London","AA/AO","Female","13020","12495","24020","22520"
"In post","2023","20-29","Outside London","AA/AO","Male","11940","11805","24690","22520"
"In post","2023","20-29","Outside London","EO","Female","9240","9070","27960","28080"
"In post","2023","20-29","Outside London","EO","Male","7130","7090","27890","27890"
"In post","2023","20-29","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","G6/G7","Female","830","820","53330","52360"
"In post","2023","20-29","Outside London","G6/G7","Male","705","700","53850","52360"
"In post","2023","20-29","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","SEO/HEO","Female","7660","7600","34880","34170"
"In post","2023","20-29","Outside London","SEO/HEO","Male","6550","6535","35160","34400"
"In post","2023","20-29","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","Unknown","Female","3515","3425","25500","24570"
"In post","2023","20-29","Outside London","Unknown","Male","955","950","26600","24570"
"In post","2023","20-29","Overseas","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","20-29","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Overseas","EO","Female","15","15","[c]","[c]"
"In post","2023","20-29","Overseas","EO","Male","5","5","[c]","[c]"
"In post","2023","20-29","Overseas","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","20-29","Overseas","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","20-29","Overseas","SEO/HEO","Female","155","155","36710","33540"
"In post","2023","20-29","Overseas","SEO/HEO","Male","105","105","38240","35070"
"In post","2023","20-29","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Overseas","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","AA/AO","Female","20","20","[c]","[c]"
"In post","2023","20-29","Unknown","AA/AO","Male","30","30","[c]","[c]"
"In post","2023","20-29","Unknown","EO","Female","30","30","[c]","[c]"
"In post","2023","20-29","Unknown","EO","Male","35","35","26330","25750"
"In post","2023","20-29","Unknown","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","20-29","Unknown","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","20-29","Unknown","Unknown","Female","65","65","32790","33930"
"In post","2023","20-29","Unknown","Unknown","Male","315","315","32190","32610"
"In post","2023","30-39","London","AA/AO","Female","855","765","27880","26400"
"In post","2023","30-39","London","AA/AO","Male","940","925","30300","28170"
"In post","2023","30-39","London","EO","Female","1990","1865","31390","31310"
"In post","2023","30-39","London","EO","Male","1615","1600","31850","31950"
"In post","2023","30-39","London","G6/G7","Female","5595","5395","60510","59000"
"In post","2023","30-39","London","G6/G7","Male","4765","4730","61110","59290"
"In post","2023","30-39","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","London","SCS level","Female","425","405","81270","77080"
"In post","2023","30-39","London","SCS level","Male","365","365","82180","78000"
"In post","2023","30-39","London","SEO/HEO","Female","4370","4240","40510","40880"
"In post","2023","30-39","London","SEO/HEO","Male","3790","3770","40720","40880"
"In post","2023","30-39","London","Unknown","Female","390","370","34490","34820"
"In post","2023","30-39","London","Unknown","Male","110","105","34350","33050"
"In post","2023","30-39","Outside London","AA/AO","Female","12275","10590","23690","22500"
"In post","2023","30-39","Outside London","AA/AO","Male","11345","11145","25890","22520"
"In post","2023","30-39","Outside London","EO","Female","12480","11435","28340","28120"
"In post","2023","30-39","Outside London","EO","Male","10595","10515","28880","28120"
"In post","2023","30-39","Outside London","G6/G7","Female","4900","4660","56520","54690"
"In post","2023","30-39","Outside London","G6/G7","Male","4745","4700","57130","55780"
"In post","2023","30-39","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Outside London","SCS level","Female","105","100","82160","77900"
"In post","2023","30-39","Outside London","SCS level","Male","105","100","84110","80150"
"In post","2023","30-39","Outside London","SEO/HEO","Female","14780","14030","37120","35220"
"In post","2023","30-39","Outside London","SEO/HEO","Male","13275","13185","37610","36920"
"In post","2023","30-39","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Outside London","Unknown","Female","3675","3360","29750","29050"
"In post","2023","30-39","Outside London","Unknown","Male","1255","1235","32430","29400"
"In post","2023","30-39","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Overseas","EO","Female","20","20","[c]","[c]"
"In post","2023","30-39","Overseas","EO","Male","20","20","[c]","[c]"
"In post","2023","30-39","Overseas","G6/G7","Female","220","220","57620","55590"
"In post","2023","30-39","Overseas","G6/G7","Male","245","245","59370","56340"
"In post","2023","30-39","Overseas","SCS level","Female","20","20","[c]","[c]"
"In post","2023","30-39","Overseas","SCS level","Male","10","10","[c]","[c]"
"In post","2023","30-39","Overseas","SEO/HEO","Female","185","185","40500","38600"
