"Status","Year","Disability","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Digital, Data and Technology","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","London","85","85","50970","53550"
"In post","2023","Declared disabled","Analysis","Economics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","North West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Wales","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intelligence Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","North East (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","North West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","South East (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","Wales","30","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Delivery","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","London","30","30","46560","43650"
"In post","2023","Declared disabled","Analysis","Operational Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","North West (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","South East (England)","30","30","45100","49260"
"In post","2023","Declared disabled","Analysis","Operational Research","South West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Operational Research","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","London","35","30","47110","38130"
"In post","2023","Declared disabled","Analysis","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Other","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Policy","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Policy","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Science and Engineering","East of England","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Science and Engineering","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Science and Engineering","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Science and Engineering","South East (England)","60","60","46790","49260"
"In post","2023","Declared disabled","Analysis","Science and Engineering","South West (England)","100","95","41370","39890"
"In post","2023","Declared disabled","Analysis","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Science and Engineering","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Social Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Social Research","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Social Research","London","40","35","48820","43910"
"In post","2023","Declared disabled","Analysis","Social Research","North East (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Social Research","North West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Social Research","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Social Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Social Research","South East (England)","35","30","38610","39300"
"In post","2023","Declared disabled","Analysis","Social Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Social Research","Wales","30","30","39690","39300"
"In post","2023","Declared disabled","Analysis","Social Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Social Research","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","London","105","100","45850","41700"
"In post","2023","Declared disabled","Analysis","Statistics","North East (England)","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","North West (England)","30","30","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","South East (England)","35","35","45860","39300"
"In post","2023","Declared disabled","Analysis","Statistics","South West (England)","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","Wales","40","35","40500","39300"
"In post","2023","Declared disabled","Analysis","Statistics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Statistics","Yorkshire and The Humber","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Tax","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Tax","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Tax","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Commercial","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Commercial","East of England","25","25","[c]","[c]"
