"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicester","Outside London","155","145","38230","32520"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","Outside London","20","20","46990","56450"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Nottingham","Outside London","315","295","37990","31180"
"In post","2023","Attorney General's Departments","East Midlands (England)","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","West Northamptonshire","Outside London","15","15","42030","43910"
"In post","2023","Attorney General's Departments","East of England","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Cambridgeshire CC","Outside London","20","20","42930","49050"
"In post","2023","Attorney General's Departments","East of England","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Essex Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Heart of Essex","Outside London","210","195","42840","38460"
"In post","2023","Attorney General's Departments","East of England","Hertfordshire CC","Outside London","195","175","44840","41340"
"In post","2023","Attorney General's Departments","East of England","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Norwich and East Norfolk","Outside London","95","85","35910","28000"
"In post","2023","Attorney General's Departments","East of England","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Suffolk CC","Outside London","35","35","40490","34280"
"In post","2023","Attorney General's Departments","East of England","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Bexley and Greenwich","London","10","10","38920","25600"
"In post","2023","Attorney General's Departments","London","Bromley","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Croydon","London","50","50","38550","32630"
"In post","2023","Attorney General's Departments","London","Ealing","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Haringey and Islington","London","10","10","40910","25600"
"In post","2023","Attorney General's Departments","London","Harrow and Hillingdon","London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Hounslow and Richmond upon Thames","London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Lewisham and Southwark","London","10","10","30230","25600"
"In post","2023","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Redbridge and Waltham Forest","London","10","10","39090","25600"
"In post","2023","Attorney General's Departments","London","Westminster","London","4705","4445","51400","52790"
"In post","2023","Attorney General's Departments","North East (England)","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Durham","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","South Teesside","Outside London","105","95","39810","33300"
"In post","2023","Attorney General's Departments","North East (England)","Tyneside","Outside London","280","260","39070","31740"
"In post","2023","Attorney General's Departments","North West (England)","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cheshire East","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","East Cumbria","Outside London","30","25","41550","42030"
"In post","2023","Attorney General's Departments","North West (England)","East Merseyside","Outside London","5","5","[c]","[c]"
