"Status","Year","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","AA/AO","AA","Female","295","240","22390","23000"
"In post","2023","Asian","AA/AO","AA","Male","375","350","22880","23230"
"In post","2023","Asian","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","AA/AO","AO","Female","4750","3990","23510","22520"
"In post","2023","Asian","AA/AO","AO","Male","3525","3355","24170","22520"
"In post","2023","Asian","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","EO","EO","Female","5920","5325","29420","28220"
"In post","2023","Asian","EO","EO","Male","4480","4370","29260","28120"
"In post","2023","Asian","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G6/G7","G6","Female","545","525","70160","68540"
"In post","2023","Asian","G6/G7","G6","Male","420","410","71920","70480"
"In post","2023","Asian","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","G6/G7","G7","Female","1810","1745","56940","55740"
"In post","2023","Asian","G6/G7","G7","Male","1575","1555","57730","56850"
"In post","2023","Asian","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SCS level","SCS level","Female","175","170","93650","85200"
"In post","2023","Asian","SCS level","SCS level","Male","165","165","93590","86910"
"In post","2023","Asian","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SEO/HEO","HEO","Female","3325","3195","35420","35000"
"In post","2023","Asian","SEO/HEO","HEO","Male","2960","2900","35560","35000"
"In post","2023","Asian","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","SEO/HEO","SEO","Female","2115","2045","42820","42510"
"In post","2023","Asian","SEO/HEO","SEO","Male","1890","1870","43600","42840"
"In post","2023","Asian","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Female","675","625","29720","27640"
"In post","2023","Asian","Unknown","Unknown","Male","355","335","30760","27640"
"In post","2023","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","AA/AO","AA","Female","260","235","23940","23500"
"In post","2023","Black","AA/AO","AA","Male","270","260","24060","23670"
"In post","2023","Black","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","AA/AO","AO","Female","2240","2015","25110","25480"
"In post","2023","Black","AA/AO","AO","Male","1520","1475","27700","25610"
"In post","2023","Black","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","EO","EO","Female","3430","3215","30400","30410"
"In post","2023","Black","EO","EO","Male","1710","1675","30400","30060"
"In post","2023","Black","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","G6/G7","G6","Female","165","160","70310","69140"
"In post","2023","Black","G6/G7","G6","Male","110","110","71800","69680"
"In post","2023","Black","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","G6/G7","G7","Female","870","855","57260","55740"
"In post","2023","Black","G6/G7","G7","Male","505","500","57870","56430"
"In post","2023","Black","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","SCS level","Female","65","65","91760","83000"
"In post","2023","Black","SCS level","SCS level","Male","50","45","104010","95950"
"In post","2023","Black","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","SEO/HEO","HEO","Female","1810","1775","36000","35550"
"In post","2023","Black","SEO/HEO","HEO","Male","1065","1050","36130","35410"
"In post","2023","Black","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","SEO/HEO","SEO","Female","1135","1120","43460","43210"
"In post","2023","Black","SEO/HEO","SEO","Male","765","760","43900","43150"
"In post","2023","Black","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Female","925","880","31990","29300"
"In post","2023","Black","Unknown","Unknown","Male","405","395","32420","29300"
"In post","2023","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","AA/AO","AA","Female","115","100","22470","23230"
"In post","2023","Mixed","AA/AO","AA","Male","90","85","22750","23230"
"In post","2023","Mixed","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","AA/AO","AO","Female","1080","955","24440","22520"
"In post","2023","Mixed","AA/AO","AO","Male","795","765","26320","24480"
"In post","2023","Mixed","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","EO","EO","Female","1395","1290","29220","28120"
"In post","2023","Mixed","EO","EO","Male","855","835","29560","28120"
"In post","2023","Mixed","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","G6/G7","G6","Female","215","205","70290","67890"
"In post","2023","Mixed","G6/G7","G6","Male","200","195","70530","68150"
"In post","2023","Mixed","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","G6/G7","G7","Female","680","645","56570","55500"
"In post","2023","Mixed","G6/G7","G7","Male","530","525","56690","55850"
"In post","2023","Mixed","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SCS level","SCS level","Female","80","75","86090","80970"
"In post","2023","Mixed","SCS level","SCS level","Male","80","80","90070","81670"
"In post","2023","Mixed","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SEO/HEO","HEO","Female","1020","990","34800","34440"
"In post","2023","Mixed","SEO/HEO","HEO","Male","740","730","35500","34970"
"In post","2023","Mixed","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","SEO/HEO","SEO","Female","630","615","42910","42140"
"In post","2023","Mixed","SEO/HEO","SEO","Male","520","510","43150","42140"
"In post","2023","Mixed","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","Female","520","490","30800","29050"
"In post","2023","Mixed","Unknown","Unknown","Male","170","165","32120","29050"
"In post","2023","Mixed","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","AA","Female","20","20","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","AA","Male","35","35","23610","23280"
"In post","2023","Other ethnicity","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","AO","Female","260","230","24460","23700"
"In post","2023","Other ethnicity","AA/AO","AO","Male","240","230","26640","25480"
"In post","2023","Other ethnicity","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","EO","EO","Female","395","365","29870","29660"
"In post","2023","Other ethnicity","EO","EO","Male","290","280","29590","28340"
"In post","2023","Other ethnicity","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","G6","Female","70","65","69910","68430"
"In post","2023","Other ethnicity","G6/G7","G6","Male","80","80","71690","68610"
"In post","2023","Other ethnicity","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","G6/G7","G7","Female","195","190","56480","55370"
"In post","2023","Other ethnicity","G6/G7","G7","Male","200","195","56170","55280"
"In post","2023","Other ethnicity","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","SCS level","Female","25","20","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","SCS level","Male","35","35","94100","86590"
"In post","2023","Other ethnicity","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","HEO","Female","270","260","35390","35000"
"In post","2023","Other ethnicity","SEO/HEO","HEO","Male","230","220","36040","35010"
"In post","2023","Other ethnicity","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","SEO","Female","200","190","43240","42360"
"In post","2023","Other ethnicity","SEO/HEO","SEO","Male","170","170","44150","42510"
"In post","2023","Other ethnicity","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","Female","80","75","31220","29050"
"In post","2023","Other ethnicity","Unknown","Unknown","Male","40","40","31350","29050"
"In post","2023","Other ethnicity","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","AA/AO","AA","Female","135","115","21670","21380"
"In post","2023","Undeclared","AA/AO","AA","Male","240","230","21760","21380"
"In post","2023","Undeclared","AA/AO","AO","Female","1845","1555","23270","22220"
"In post","2023","Undeclared","AA/AO","AO","Male","2040","1930","25220","22520"
"In post","2023","Undeclared","EO","EO","Female","2330","2045","29200","28120"
"In post","2023","Undeclared","EO","EO","Male","2825","2660","29840","28120"
"In post","2023","Undeclared","G6/G7","G6","Female","295","280","70620","69990"
"In post","2023","Undeclared","G6/G7","G6","Male","565","545","72380","71180"
"In post","2023","Undeclared","G6/G7","G7","Female","695","665","56980","56080"
"In post","2023","Undeclared","G6/G7","G7","Male","1545","1515","57440","57210"
"In post","2023","Undeclared","SCS level","SCS level","Female","70","65","90090","83520"
"In post","2023","Undeclared","SCS level","SCS level","Male","120","120","94600","85860"
"In post","2023","Undeclared","SEO/HEO","HEO","Female","1225","1140","35200","34850"
"In post","2023","Undeclared","SEO/HEO","HEO","Male","2095","2025","35890","35000"
"In post","2023","Undeclared","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","SEO/HEO","SEO","Female","920","870","42920","42510"
"In post","2023","Undeclared","SEO/HEO","SEO","Male","1690","1640","43940","42760"
"In post","2023","Undeclared","Unknown","Unknown","Female","320","290","32830","32050"
"In post","2023","Undeclared","Unknown","Unknown","Male","305","290","37900","37910"
"In post","2023","Unknown","AA/AO","AA","Female","2130","1895","22440","22520"
"In post","2023","Unknown","AA/AO","AA","Male","1900","1815","22810","22920"
"In post","2023","Unknown","AA/AO","AO","Female","11465","10320","23980","22520"
"In post","2023","Unknown","AA/AO","AO","Male","10170","9875","25410","22520"
"In post","2023","Unknown","EO","EO","Female","9295","8730","28750","28120"
"In post","2023","Unknown","EO","EO","Male","9120","8870","29270","28120"
"In post","2023","Unknown","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","G6","Female","1110","1050","70490","68610"
"In post","2023","Unknown","G6/G7","G6","Male","1180","1150","70970","69770"
"In post","2023","Unknown","G6/G7","G7","Female","3075","2950","56500","55720"
"In post","2023","Unknown","G6/G7","G7","Male","3310","3260","57250","56430"
"In post","2023","Unknown","SCS level","SCS level","Female","385","370","93150","84690"
"In post","2023","Unknown","SCS level","SCS level","Male","415","405","97020","88780"
"In post","2023","Unknown","SEO/HEO","HEO","Female","5355","5155","35390","34730"
"In post","2023","Unknown","SEO/HEO","HEO","Male","5605","5495","35580","34850"
"In post","2023","Unknown","SEO/HEO","SEO","Female","3380","3250","42780","42460"
"In post","2023","Unknown","SEO/HEO","SEO","Male","3840","3765","43210","42510"
"In post","2023","Unknown","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","Female","2625","2390","28660","26840"
"In post","2023","Unknown","Unknown","Unknown","Male","2625","2540","37260","34880"
"In post","2023","White","AA/AO","AA","Female","6180","5265","21910","22180"
"In post","2023","White","AA/AO","AA","Male","6670","6290","22040","22040"
"In post","2023","White","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","AA/AO","AO","Female","45630","39055","23560","22400"
"In post","2023","White","AA/AO","AO","Male","32345","30885","26030","22520"
