"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","SEO/HEO","Female","55","55","31030","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","SEO/HEO","Male","55","55","31200","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","Female","60","55","25960","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","Male","45","45","26040","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Female","30","30","52400","49400"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Male","65","65","53680","50020"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Female","140","130","33460","30820"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Male","130","130","34080","31690"
"In post","2023","Analysis","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Companies House","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6/G7","Female","30","25","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6/G7","Male","60","60","65760","61300"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","EO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","EO","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","G6/G7","Female","120","110","53690","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","G6/G7","Male","420","400","54630","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","SEO/HEO","Female","150","145","34540","34930"
"In post","2023","Analysis","Defence Science and Technology Laboratory","SEO/HEO","Male","305","300","35700","39890"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","Female","35","35","36960","35700"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","Male","75","75","37570","35700"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","Female","30","30","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","Male","40","40","58210","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","Male","30","30","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","EO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","G6/G7","Female","100","90","57250","55200"
"In post","2023","Analysis","Department for Education (excl. agencies)","G6/G7","Male","95","90","56990","55020"
"In post","2023","Analysis","Department for Education (excl. agencies)","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","SEO/HEO","Female","210","200","41200","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","SEO/HEO","Male","130","130","41000","43250"
"In post","2023","Analysis","Department for International Trade","EO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","G6/G7","Female","40","35","60340","57960"
"In post","2023","Analysis","Department for International Trade","G6/G7","Male","85","85","58800","55740"
"In post","2023","Analysis","Department for International Trade","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","SEO/HEO","Female","45","45","37660","35010"
"In post","2023","Analysis","Department for International Trade","SEO/HEO","Male","50","50","37680","35010"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","Female","50","45","58360","54860"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","Male","75","75","58320","55000"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","Female","40","40","35720","34310"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","Male","55","55","36370","34310"
"In post","2023","Analysis","Department for Transport (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G6/G7","Female","80","75","60010","56340"
"In post","2023","Analysis","Department for Transport (excl. agencies)","G6/G7","Male","105","100","59060","56340"
"In post","2023","Analysis","Department for Transport (excl. agencies)","SCS level","Female","5","5","[c]","[c]"
