"Status","Year","Function_of_post","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Department for Transport","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","10","10","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","20","20","45030","39040"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Statistics","115","110","31120","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","45","40","37820","31050"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","450","435","35610","30820"
"In post","2023","Analysis","Charity Commission","Charity Commission","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Charity Commission","Statistics","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","Economics","110","100","64660","59230"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","30","30","56990","55950"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Intelligence Analysis","15","15","37590","30650"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","195","190","42650","42270"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","835","810","45100","49260"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
