"Status","Year","Disability","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","95","90","25550","25340"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","165","145","30130","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","EO","Undeclared","35","30","29900","30120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","EO","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","30","30","66760","63370"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","90","85","40430","39120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","75","70","31900","30810"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Heterosexual / straight","230","220","26390","24360"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Undeclared","40","35","28450","25340"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","235","220","30190","28540"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","30","30","[c]","[c]"
