"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SEO/HEO","35","35","40580","38330"
"In post","2023","Active Travel England","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G6/G7","25","20","58260","55740"
"In post","2023","Active Travel England","Department for Transport","SCS level","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SEO/HEO","20","20","37770","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","45","40","21920","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","295","275","25900","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","55","55","60620","58900"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","605","555","36650","35190"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","950","890","22970","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","830","795","27260","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","275","265","54970","54330"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","1020","975","35730","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","AA/AO","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G6/G7","20","20","64530","66620"
"In post","2023","Attorney General's Office","Attorney General's Departments","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO/HEO","15","15","37870","38330"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","25","25","27120","27230"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G6/G7","115","110","56150","53430"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SEO/HEO","80","80","35260","35330"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","420","390","22590","21720"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","755","725","27090","27430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","2265","2215","59150","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","455","445","95560","84660"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","2015","1970","37540","36680"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","SEO/HEO","1660","1660","30710","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","20","20","21750","22150"
