"Status","Year","Disability","Ethnicity","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","90","80","33390","30910"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","65","60","35210","31280"
"In post","2023","Declared disabled","Asian","Cheshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Derbyshire and Nottinghamshire","115","105","30040","28120"
"In post","2023","Declared disabled","Asian","Devon","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Anglia","40","35","28600","27740"
"In post","2023","Declared disabled","Asian","East Wales","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Eastern Scotland","35","30","35050","29100"
"In post","2023","Declared disabled","Asian","Essex","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","70","65","35620","31920"
"In post","2023","Declared disabled","Asian","Greater Manchester","185","170","30670","28120"
"In post","2023","Declared disabled","Asian","Hampshire and Isle of Wight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inner London - East","315","290","38010","33050"
"In post","2023","Declared disabled","Asian","Inner London - West","640","620","42280","39150"
"In post","2023","Declared disabled","Asian","Kent","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Lancashire","140","125","27240","26330"
"In post","2023","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","140","120","26270","25830"
"In post","2023","Declared disabled","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Merseyside","30","25","[c]","[c]"
