"Status","Year","Age","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","AA/AO","Female","570","550","23210","22520"
"In post","2023","16-19","AA/AO","Male","590","570","22750","22500"
"In post","2023","16-19","EO","Female","85","85","27060","26900"
"In post","2023","16-19","EO","Male","85","85","26820","26000"
"In post","2023","16-19","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Female","50","45","20700","19090"
"In post","2023","16-19","Unknown","Male","60","60","20520","19090"
"In post","2023","20-29","AA/AO","Female","14435","13880","24400","22520"
"In post","2023","20-29","AA/AO","Male","12930","12780","24950","22520"
"In post","2023","20-29","EO","Female","12055","11855","28570","28120"
"In post","2023","20-29","EO","Male","9030","8980","28430","28120"
"In post","2023","20-29","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","G6/G7","Female","2890","2880","55890","55120"
"In post","2023","20-29","G6/G7","Male","2470","2465","56430","55370"
"In post","2023","20-29","SCS level","Female","10","10","[c]","[c]"
"In post","2023","20-29","SCS level","Male","5","5","[c]","[c]"
"In post","2023","20-29","SEO/HEO","Female","14340","14255","36220","35000"
"In post","2023","20-29","SEO/HEO","Male","11600","11570","36380","35000"
"In post","2023","20-29","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Female","3975","3875","26050","24570"
"In post","2023","20-29","Unknown","Male","1385","1375","28060","26520"
"In post","2023","30-39","AA/AO","Female","13150","11375","23960","22520"
"In post","2023","30-39","AA/AO","Male","12305","12095","26230","23340"
"In post","2023","30-39","EO","Female","14520","13350","28770","28120"
"In post","2023","30-39","EO","Male","12285","12190","29270","28120"
"In post","2023","30-39","G6/G7","Female","10735","10290","58620","56430"
"In post","2023","30-39","G6/G7","Male","9765","9685","59130","57170"
"In post","2023","30-39","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","SCS level","Female","550","525","81250","77000"
"In post","2023","30-39","SCS level","Male","475","475","82500","78260"
"In post","2023","30-39","SEO/HEO","Female","19350","18465","37920","37590"
"In post","2023","30-39","SEO/HEO","Male","17355","17250","38360","37760"
"In post","2023","30-39","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Unknown","Female","4125","3790","30360","29050"
"In post","2023","30-39","Unknown","Male","1715","1695","34490","32050"
"In post","2023","40-49","AA/AO","Female","14590","12285","23360","22400"
"In post","2023","40-49","AA/AO","Male","10505","10250","25600","22520"
"In post","2023","40-49","EO","Female","15505","13840","28700","28120"
"In post","2023","40-49","EO","Male","11305","11160","29350","28120"
"In post","2023","40-49","G6/G7","Female","11885","11160","60950","59200"
"In post","2023","40-49","G6/G7","Male","11085","10980","61370","59340"
"In post","2023","40-49","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","SCS level","Female","1520","1435","88180","81600"
"In post","2023","40-49","SCS level","Male","1485","1465","90720","83000"
"In post","2023","40-49","SEO/HEO","Female","18705","17610","38800","38330"
"In post","2023","40-49","SEO/HEO","Male","15890","15755","39390","39050"
"In post","2023","40-49","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Female","4110","3750","33820","32310"
"In post","2023","40-49","Unknown","Male","1795","1750","37790","36630"
"In post","2023","50-59","AA/AO","Female","21495","18550","23100","22400"
"In post","2023","50-59","AA/AO","Male","15110","14445","25210","22520"
"In post","2023","50-59","EO","Female","21570","19490","28850","28120"
"In post","2023","50-59","EO","Male","15345","14860","30060","28120"
"In post","2023","50-59","G6/G7","Female","9870","9465","61840","59400"
"In post","2023","50-59","G6/G7","Male","11440","11305","62730","60490"
"In post","2023","50-59","SCS level","Female","1250","1210","94190","85200"
"In post","2023","50-59","SCS level","Male","1510","1495","99050","91070"
"In post","2023","50-59","SEO/HEO","Female","19425","18510","38840","38330"
"In post","2023","50-59","SEO/HEO","Male","18775","18495","40280","39650"
"In post","2023","50-59","Unknown","Female","3505","3270","32730","29050"
"In post","2023","50-59","Unknown","Male","2305","2225","39280","37890"
"In post","2023","60-64","AA/AO","Female","8975","7000","22790","22330"
"In post","2023","60-64","AA/AO","Male","6140","5305","24290","22520"
"In post","2023","60-64","EO","Female","6775","5285","28930","28120"
"In post","2023","60-64","EO","Male","5120","4270","29890","28130"
"In post","2023","60-64","G6/G7","Female","1545","1350","62320","60390"
"In post","2023","60-64","G6/G7","Male","2475","2190","63500","61480"
"In post","2023","60-64","SCS level","Female","165","150","101100","94400"
"In post","2023","60-64","SCS level","Male","295","270","104330","97190"
"In post","2023","60-64","SEO/HEO","Female","4230","3525","38670","37710"
"In post","2023","60-64","SEO/HEO","Male","5275","4595","40440","39680"
"In post","2023","60-64","Unknown","Female","1090","950","31450","29050"
"In post","2023","60-64","Unknown","Male","900","810","37720","35070"
"In post","2023","65+","AA/AO","Female","3175","2330","22970","22400"
"In post","2023","65+","AA/AO","Male","2630","2135","23640","22500"
"In post","2023","65+","EO","Female","1895","1365","29150","28120"
"In post","2023","65+","EO","Male","1735","1315","29770","28480"
