"Status","Year","Disability","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","London","AA/AO","AA","160","145","24290","23500"
"In post","2023","Declared disabled","London","AA/AO","AO","1205","1100","27010","25610"
"In post","2023","Declared disabled","London","EO","EO","2415","2240","31610","32260"
"In post","2023","Declared disabled","London","G6/G7","G6","735","705","71030","70300"
"In post","2023","Declared disabled","London","G6/G7","G7","1745","1690","58480","56530"
"In post","2023","Declared disabled","London","SCS level","SCS level","335","325","93420","84160"
"In post","2023","Declared disabled","London","SEO/HEO","HEO","2080","2030","36620","36180"
"In post","2023","Declared disabled","London","SEO/HEO","SEO","1455","1410","44470","43650"
"In post","2023","Declared disabled","London","Unknown","Unknown","455","435","36290","33820"
"In post","2023","Declared disabled","Outside London","AA/AO","AA","1930","1695","21710","21380"
"In post","2023","Declared disabled","Outside London","AA/AO","AO","13375","11690","23480","22150"
"In post","2023","Declared disabled","Outside London","EO","EO","14545","13090","28450","28120"
"In post","2023","Declared disabled","Outside London","G6/G7","G6","855","825","70740","69580"
"In post","2023","Declared disabled","Outside London","G6/G7","G7","3190","3055","55190","54510"
"In post","2023","Declared disabled","Outside London","SCS level","SCS level","215","205","89990","83000"
"In post","2023","Declared disabled","Outside London","SEO/HEO","HEO","7240","6835","34340","34170"
"In post","2023","Declared disabled","Outside London","SEO/HEO","SEO","4715","4515","42240","41640"
"In post","2023","Declared disabled","Outside London","Unknown","Unknown","3835","3575","31180","29050"
"In post","2023","Declared disabled","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6/G7","G7","40","40","57340","56770"
"In post","2023","Declared disabled","Overseas","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO/HEO","HEO","75","75","37290","35250"
"In post","2023","Declared disabled","Overseas","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","AO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","EO","45","45","28180","28120"
"In post","2023","Declared disabled","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","AA/AO","AA","885","815","24580","23500"
"In post","2023","Declared non-disabled","London","AA/AO","AO","6035","5545","27740","26400"
"In post","2023","Declared non-disabled","London","EO","EO","12000","11280","31420","31450"
"In post","2023","Declared non-disabled","London","G6/G7","G6","6240","5995","71290","70010"
"In post","2023","Declared non-disabled","London","G6/G7","G7","13180","12775","58360","56760"
"In post","2023","Declared non-disabled","London","SCS level","SCS level","3015","2910","91320","82760"
"In post","2023","Declared non-disabled","London","SEO/HEO","HEO","10870","10595","37190","36310"
"In post","2023","Declared non-disabled","London","SEO/HEO","SEO","9725","9485","44480","43660"
"In post","2023","Declared non-disabled","London","Unknown","Unknown","1495","1425","35940","34800"
"In post","2023","Declared non-disabled","Outside London","AA/AO","AA","9355","8465","21830","22080"
"In post","2023","Declared non-disabled","Outside London","AA/AO","AO","64555","57985","24320","22500"
"In post","2023","Declared non-disabled","Outside London","EO","EO","66390","61015","28440","28120"
"In post","2023","Declared non-disabled","Outside London","G6/G7","G6","7720","7425","70480","69940"
"In post","2023","Declared non-disabled","Outside London","G6/G7","G7","22415","21565","55890","55110"
"In post","2023","Declared non-disabled","Outside London","SCS level","SCS level","1895","1840","91370","84260"
"In post","2023","Declared non-disabled","Outside London","SEO/HEO","HEO","41305","39410","34520","34300"
"In post","2023","Declared non-disabled","Outside London","SEO/HEO","SEO","31110","29885","42630","41800"
"In post","2023","Declared non-disabled","Outside London","Unknown","Unknown","13460","12620","31810","29050"
"In post","2023","Declared non-disabled","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","AA/AO","AO","40","40","28520","25750"
"In post","2023","Declared non-disabled","Overseas","EO","EO","130","125","34750","33510"
"In post","2023","Declared non-disabled","Overseas","G6/G7","G6","205","200","69650","66780"
"In post","2023","Declared non-disabled","Overseas","G6/G7","G7","375","375","58070","56100"
"In post","2023","Declared non-disabled","Overseas","SCS level","SCS level","185","180","89120","78650"
"In post","2023","Declared non-disabled","Overseas","SEO/HEO","HEO","605","605","36740","35250"
"In post","2023","Declared non-disabled","Overseas","SEO/HEO","SEO","290","290","49310","47380"
"In post","2023","Declared non-disabled","Overseas","Unknown","Unknown","125","125","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA/AO","AA","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA/AO","AO","95","90","24070","21690"
"In post","2023","Declared non-disabled","Unknown","EO","EO","230","215","28170","28120"
"In post","2023","Declared non-disabled","Unknown","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","G6/G7","G7","60","60","56490","55790"
"In post","2023","Declared non-disabled","Unknown","SCS level","SCS level","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","HEO","85","80","37660","34640"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","SEO","70","65","44160","42930"
"In post","2023","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","London","AA/AO","AA","195","175","25060","23670"
"In post","2023","Undeclared","London","AA/AO","AO","625","570","28860","26400"
"In post","2023","Undeclared","London","EO","EO","1040","985","32010","31950"
"In post","2023","Undeclared","London","G6/G7","G6","585","570","71800","70140"
"In post","2023","Undeclared","London","G6/G7","G7","1175","1150","58760","57220"
"In post","2023","Undeclared","London","SCS level","SCS level","235","230","95380","84990"
"In post","2023","Undeclared","London","SEO/HEO","HEO","1000","975","37270","36740"
"In post","2023","Undeclared","London","SEO/HEO","SEO","910","885","44940","43790"
"In post","2023","Undeclared","London","Unknown","Unknown","120","115","36250","33820"
"In post","2023","Undeclared","Outside London","AA/AO","AA","1200","1055","22120","22520"
"In post","2023","Undeclared","Outside London","AA/AO","AO","5935","5285","25780","22520"
"In post","2023","Undeclared","Outside London","EO","EO","5395","4985","29360","28120"
"In post","2023","Undeclared","Outside London","G6/G7","G6","540","515","70480","69500"
"In post","2023","Undeclared","Outside London","G6/G7","G7","1600","1550","55810","55230"
"In post","2023","Undeclared","Outside London","SCS level","SCS level","130","125","102680","96070"
"In post","2023","Undeclared","Outside London","SEO/HEO","HEO","3530","3370","34960","34450"
"In post","2023","Undeclared","Outside London","SEO/HEO","SEO","2640","2535","43270","42140"
"In post","2023","Undeclared","Outside London","Unknown","Unknown","870","805","32960","29050"
"In post","2023","Undeclared","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","EO","EO","15","15","[c]","[c]"
"In post","2023","Undeclared","Overseas","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Undeclared","Overseas","G6/G7","G7","30","30","58140","56100"
"In post","2023","Undeclared","Overseas","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Undeclared","Overseas","SEO/HEO","HEO","35","35","39500","35810"
"In post","2023","Undeclared","Overseas","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2023","Undeclared","Overseas","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","EO","EO","20","15","[c]","[c]"
"In post","2023","Undeclared","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Unknown","London","AA/AO","AA","310","300","24850","23500"
"In post","2023","Unknown","London","AA/AO","AO","2385","2295","28300","26400"
"In post","2023","Unknown","London","EO","EO","4350","4240","31310","29890"
"In post","2023","Unknown","London","G6/G7","G6","1805","1735","70860","69260"
"In post","2023","Unknown","London","G6/G7","G7","4505","4405","57910","56360"
"In post","2023","Unknown","London","SCS level","SCS level","825","795","96360","86460"
"In post","2023","Unknown","London","SEO/HEO","HEO","5525","5450","36190","35770"
"In post","2023","Unknown","London","SEO/HEO","SEO","3710","3655","44060","43210"
"In post","2023","Unknown","London","Unknown","Unknown","390","360","31010","28580"
"In post","2023","Unknown","Outside London","AA/AO","AA","4650","4255","22360","22180"
"In post","2023","Unknown","Outside London","AA/AO","AO","23555","21955","24270","22520"
"In post","2023","Unknown","Outside London","EO","EO","20620","19755","29060","28080"
"In post","2023","Unknown","Outside London","G6/G7","G6","1790","1720","71380","70540"
"In post","2023","Unknown","Outside London","G6/G7","G7","5705","5500","55500","54680"
"In post","2023","Unknown","Outside London","SCS level","SCS level","425","405","95120","88360"
"In post","2023","Unknown","Outside London","SEO/HEO","HEO","12145","11750","34610","34400"
"In post","2023","Unknown","Outside London","SEO/HEO","SEO","7765","7510","42500","41780"
"In post","2023","Unknown","Outside London","Unknown","Unknown","3230","2950","28420","25300"
"In post","2023","Unknown","Overseas","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Unknown","Overseas","EO","EO","50","50","34200","32960"
"In post","2023","Unknown","Overseas","G6/G7","G6","200","200","69530","67160"
"In post","2023","Unknown","Overseas","G6/G7","G7","425","425","57410","55700"
"In post","2023","Unknown","Overseas","SCS level","SCS level","85","85","85030","77480"
"In post","2023","Unknown","Overseas","SEO/HEO","HEO","320","320","47730","43960"
"In post","2023","Unknown","Overseas","SEO/HEO","SEO","140","140","47370","45150"
"In post","2023","Unknown","Overseas","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","AA/AO","AO","45","40","23440","22400"
"In post","2023","Unknown","Unknown","EO","EO","85","75","27700","25750"
"In post","2023","Unknown","Unknown","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Unknown","Unknown","G6/G7","G7","20","20","[c]","[c]"
"In post","2023","Unknown","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","SEO/HEO","HEO","45","45","41110","44110"
