"Status","Year","Disability","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Commercial","London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","London","45","40","33080","32520"
"In post","2023","Declared disabled","Asian","Counter Fraud","Outside London","55","50","27600","28120"
"In post","2023","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","London","70","70","47310","43790"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Outside London","55","55","38520","34170"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","London","40","40","42740","43430"
"In post","2023","Declared disabled","Asian","Finance","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","London","70","65","42260","39150"
"In post","2023","Declared disabled","Asian","Human Resources","Outside London","35","30","36000","35090"
"In post","2023","Declared disabled","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","London","40","40","58510","60750"
"In post","2023","Declared disabled","Asian","Legal","Outside London","50","45","44840","46590"
"In post","2023","Declared disabled","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Delivery","London","750","675","32300","31950"
"In post","2023","Declared disabled","Asian","Operational Delivery","Outside London","1385","1230","27070","27890"
"In post","2023","Declared disabled","Asian","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Other","London","35","35","34060","32520"
"In post","2023","Declared disabled","Asian","Other","Outside London","75","60","27200","22490"
"In post","2023","Declared disabled","Asian","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Policy","London","180","175","45870","41510"
"In post","2023","Declared disabled","Asian","Policy","Outside London","55","50","38230","37590"
"In post","2023","Declared disabled","Asian","Policy","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","London","70","70","44220","42620"
"In post","2023","Declared disabled","Asian","Project Delivery","Outside London","55","55","39010","36320"
