"Status","Year","Ethnicity","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Human Resources","5","5","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Operational Delivery","35","35","34960","32110"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Operational Delivery","65","65","27220","25920"
"In post","2023","Asian","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Science and Engineering","30","30","32150","30320"
"In post","2023","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Other","5","5","[c]","[c]"
