"Status","Year","Function_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","15","15","46800","39040"
"In post","2023","Analysis","Building Digital UK","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","15","15","51180","48830"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","80","80","31050","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Scotland","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","345","325","36460","32080"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","150","145","34440","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","North West (England)","10","10","31600","30170"
"In post","2023","Analysis","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Wales","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","125","120","64110","58050"
"In post","2023","Analysis","Competition and Markets Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","10","10","47640","34370"
"In post","2023","Analysis","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South East (England)","535","515","45570","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","South West (England)","510","495","43400","39890"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","180","180","43090","36230"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","20","20","35200","31120"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","110","105","51870","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","North West (England)","10","10","44990","39620"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","East Midlands (England)","20","15","46720","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","London","220","210","51050","47410"
"In post","2023","Analysis","Department for Education (excl. agencies)","North East (England)","50","45","45440","43490"
"In post","2023","Analysis","Department for Education (excl. agencies)","North West (England)","65","65","40020","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","South West (England)","50","50","42410","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands (England)","20","20","42700","41510"
"In post","2023","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","150","140","45860","43490"
"In post","2023","Analysis","Department for International Trade","London","245","240","49200","55370"
"In post","2023","Analysis","Department for International Trade","North East (England)","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","210","205","49480","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","25","25","38030","34180"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","320","310","51160","55500"
"In post","2023","Analysis","Department for Transport (excl. agencies)","South East (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","15","15","38540","39430"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","20","20","38570","39430"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East of England","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","225","215","50310","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","100","95","43000","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","50","50","36070","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Scotland","20","15","34290","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","South West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","190","175","46030","41510"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","London","80","80","52220","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","North West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","South West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","60","60","46240","50830"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","10","5","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","South East (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","South West (England)","15","10","33890","32950"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Yorkshire and The Humber","10","10","25650","22500"
"In post","2023","Analysis","Education and Skills Funding Agency","London","5","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Analysis","Estyn","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","15","15","39630","39790"
"In post","2023","Analysis","Food Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
