"Status","Year","Parent_department","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","AO","40","40","23990","24480"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","EO","40","35","29300","28870"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","G7","85","80","60810","62890"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","HEO","10","10","34250","32660"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","SEO","10","10","41940","41340"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","30","25","23880","24480"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","30","25","28990","28200"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","45","40","59570","58210"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","15","15","33710","32820"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","10","10","40780","40800"
"In post","2023","Attorney General's Departments","Cheshire","EO","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","G6/G7","G7","15","15","59500","58030"
"In post","2023","Attorney General's Departments","Cheshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","EO","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","G7","10","10","53870","56450"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","AA/AO","AO","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","G6/G7","G7","15","15","55160","54520"
"In post","2023","Attorney General's Departments","Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","AO","80","75","22360","22870"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","EO","70","65","27420","26900"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","G7","115","105","53860","52880"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","HEO","35","35","32440","31490"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","SEO","15","15","40180","38940"
"In post","2023","Attorney General's Departments","Devon","AA/AO","AO","15","15","22370","22870"
"In post","2023","Attorney General's Departments","Devon","EO","EO","25","20","27870","27440"
"In post","2023","Attorney General's Departments","Devon","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","G6/G7","G7","45","45","55210","56450"
"In post","2023","Attorney General's Departments","Devon","SEO/HEO","HEO","15","15","32850","33100"
"In post","2023","Attorney General's Departments","Devon","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","AA/AO","AO","40","35","22520","22870"
"In post","2023","Attorney General's Departments","East Anglia","EO","EO","35","30","27700","27020"
"In post","2023","Attorney General's Departments","East Anglia","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","G6/G7","G7","50","45","55670","56450"
"In post","2023","Attorney General's Departments","East Anglia","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","SEO/HEO","HEO","15","10","32950","33100"
"In post","2023","Attorney General's Departments","East Anglia","SEO/HEO","SEO","10","10","38810","38760"
"In post","2023","Attorney General's Departments","East Wales","AA/AO","AO","70","65","23000","22870"
"In post","2023","Attorney General's Departments","East Wales","EO","EO","60","60","27820","27400"
"In post","2023","Attorney General's Departments","East Wales","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","G6/G7","G7","145","130","54850","55290"
"In post","2023","Attorney General's Departments","East Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","SEO/HEO","HEO","25","25","33830","33810"
"In post","2023","Attorney General's Departments","East Wales","SEO/HEO","SEO","20","20","39640","38760"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","AO","20","15","22850","22870"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","EO","EO","20","15","28210","28850"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","G7","35","30","55390","56450"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","AA/AO","AO","45","40","24030","24480"
"In post","2023","Attorney General's Departments","Essex","EO","EO","45","40","29630","30210"
"In post","2023","Attorney General's Departments","Essex","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","G6/G7","G7","75","70","59310","57650"
"In post","2023","Attorney General's Departments","Essex","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","SEO/HEO","HEO","15","15","35120","35070"
"In post","2023","Attorney General's Departments","Essex","SEO/HEO","SEO","20","20","40940","40800"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AO","45","45","22390","22870"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","EO","EO","45","40","28080","27400"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","G6","25","25","68780","67740"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","G7","125","115","54330","52510"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","HEO","20","20","34270","33810"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","SEO","10","10","39110","38850"
"In post","2023","Attorney General's Departments","Greater Manchester","AA/AO","AO","80","75","22770","22870"
"In post","2023","Attorney General's Departments","Greater Manchester","EO","EO","90","85","28190","28850"
"In post","2023","Attorney General's Departments","Greater Manchester","G6/G7","G6","20","20","70800","70700"
"In post","2023","Attorney General's Departments","Greater Manchester","G6/G7","G7","150","135","54940","54390"
"In post","2023","Attorney General's Departments","Greater Manchester","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester","SEO/HEO","HEO","25","25","33100","33050"
"In post","2023","Attorney General's Departments","Greater Manchester","SEO/HEO","SEO","25","25","39230","38940"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","AA/AO","AO","70","65","23900","24480"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","EO","EO","55","50","29000","28200"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","G6/G7","G6","10","10","77090","75660"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","G6/G7","G7","125","115","59610","57650"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","SEO/HEO","HEO","25","25","34890","34320"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","SEO/HEO","SEO","15","15","41620","40800"
"In post","2023","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","G6/G7","G7","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - East","AA/AO","AO","15","15","24100","25600"
"In post","2023","Attorney General's Departments","Inner London - East","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - East","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - East","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - East","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - West","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - West","AA/AO","AO","365","340","24230","24480"
"In post","2023","Attorney General's Departments","Inner London - West","EO","EO","790","755","29250","28410"
"In post","2023","Attorney General's Departments","Inner London - West","G6/G7","G6","950","870","70260","68280"
"In post","2023","Attorney General's Departments","Inner London - West","G6/G7","G7","1615","1520","57060","54230"
"In post","2023","Attorney General's Departments","Inner London - West","SCS level","SCS level","265","255","88850","82550"
"In post","2023","Attorney General's Departments","Inner London - West","SEO/HEO","HEO","415","405","36130","34450"
"In post","2023","Attorney General's Departments","Inner London - West","SEO/HEO","SEO","305","300","41500","40800"
"In post","2023","Attorney General's Departments","Kent","AA/AO","AO","35","35","24140","24480"
"In post","2023","Attorney General's Departments","Kent","EO","EO","30","30","29300","28670"
"In post","2023","Attorney General's Departments","Kent","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Kent","G6/G7","G7","50","45","59810","59040"
"In post","2023","Attorney General's Departments","Kent","SEO/HEO","HEO","10","10","35420","36170"
"In post","2023","Attorney General's Departments","Kent","SEO/HEO","SEO","10","10","41830","40800"
"In post","2023","Attorney General's Departments","Lancashire","AA/AO","AO","40","35","22760","22870"
"In post","2023","Attorney General's Departments","Lancashire","EO","EO","40","35","28280","28850"
"In post","2023","Attorney General's Departments","Lancashire","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Lancashire","G6/G7","G7","90","85","53880","54410"
"In post","2023","Attorney General's Departments","Lancashire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Lancashire","SEO/HEO","HEO","15","15","33320","33300"
"In post","2023","Attorney General's Departments","Lancashire","SEO/HEO","SEO","10","10","39300","38760"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","AA/AO","AO","50","45","22160","22870"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","EO","EO","30","25","28120","28850"
"In post","2023","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","G6/G7","G6","[c]","[c]","[c]","[c]"
