"Status","Year","Ethnicity","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Female","430","380","32810","30660"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Male","235","225","34240","31280"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","370","330","31570","29730"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","265","255","34510","30910"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Female","45","40","30800","28120"
"In post","2023","Asian","Cheshire","Male","45","45","32830","31110"
"In post","2023","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Male","10","10","[c]","[c]"
"In post","2023","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Female","590","530","31620","28120"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Male","455","445","32670","28130"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","Female","40","35","34580","30930"
"In post","2023","Asian","Devon","Male","35","30","35510","33430"
"In post","2023","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Female","20","20","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Male","15","10","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","Female","215","180","27140","23310"
"In post","2023","Asian","East Anglia","Male","175","160","32000","28120"
"In post","2023","Asian","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","Female","220","210","32770","28480"
"In post","2023","Asian","East Wales","Male","255","245","35670","31060"
"In post","2023","Asian","East Wales","Unknown","[c]","[c]","[c]","[c]"
