"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Property","AA/AO","AO","50","45","23330","22520"
"In post","2023","Asian","Property","EO","EO","85","80","29570","29660"
"In post","2023","Asian","Property","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Asian","Property","G6/G7","G7","25","25","[c]","[c]"
"In post","2023","Asian","Property","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","SEO/HEO","HEO","75","75","35350","35410"
"In post","2023","Asian","Property","SEO/HEO","SEO","55","55","44870","45560"
"In post","2023","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","EO","EO","10","10","[c]","[c]"
"In post","2023","Asian","Psychology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Asian","Psychology","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2023","Asian","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Science and Engineering","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Science and Engineering","AA/AO","AO","35","35","24880","25340"
"In post","2023","Asian","Science and Engineering","EO","EO","65","60","28170","27960"
"In post","2023","Asian","Science and Engineering","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Asian","Science and Engineering","G6/G7","G7","85","80","55120","54780"
"In post","2023","Asian","Science and Engineering","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Science and Engineering","SEO/HEO","HEO","165","165","33600","33640"
"In post","2023","Asian","Science and Engineering","SEO/HEO","SEO","185","185","42640","42180"
"In post","2023","Asian","Science and Engineering","Unknown","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Security","AA/AO","AA","95","95","23090","22880"
"In post","2023","Asian","Security","AA/AO","AO","65","60","30790","28950"
"In post","2023","Asian","Security","EO","EO","60","55","30760","29980"
"In post","2023","Asian","Security","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Asian","Security","G6/G7","G7","20","20","[c]","[c]"
"In post","2023","Asian","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","SEO/HEO","HEO","65","65","36410","36180"
"In post","2023","Asian","Security","SEO/HEO","SEO","45","45","44270","44450"
"In post","2023","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Social Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Social Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Social Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Social Research","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Asian","Social Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Social Research","SEO/HEO","HEO","25","20","[c]","[c]"
"In post","2023","Asian","Social Research","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2023","Asian","Statistics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Statistics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Statistics","EO","EO","25","25","[c]","[c]"
"In post","2023","Asian","Statistics","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Asian","Statistics","G6/G7","G7","55","50","58350","57840"
"In post","2023","Asian","Statistics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Statistics","SEO/HEO","HEO","70","70","35150","35000"
"In post","2023","Asian","Statistics","SEO/HEO","SEO","75","70","42980","43250"
"In post","2023","Asian","Tax","AA/AO","AO","230","210","22850","22520"
"In post","2023","Asian","Tax","EO","EO","535","505","29180","28130"
"In post","2023","Asian","Tax","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Asian","Tax","G6/G7","G7","160","155","60090","57970"
"In post","2023","Asian","Tax","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Tax","SEO/HEO","HEO","700","675","36540","35000"
"In post","2023","Asian","Tax","SEO/HEO","SEO","185","180","43790","42510"
"In post","2023","Asian","Unknown","AA/AO","AA","35","30","23460","23340"
"In post","2023","Asian","Unknown","AA/AO","AO","150","145","23930","22520"
"In post","2023","Asian","Unknown","EO","EO","315","300","29280","28820"
"In post","2023","Asian","Unknown","G6/G7","G6","70","70","71100","70920"
"In post","2023","Asian","Unknown","G6/G7","G7","200","195","57310","56430"
"In post","2023","Asian","Unknown","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Unknown","SEO/HEO","HEO","485","480","34520","34700"
"In post","2023","Asian","Unknown","SEO/HEO","SEO","225","220","43620","42510"
"In post","2023","Asian","Unknown","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Veterinarian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinarian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinarian","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinarian","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinarian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinarian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinarian","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","AA/AO","AO","20","20","[c]","[c]"
"In post","2023","Black","Commercial","EO","EO","35","35","29140","29080"
"In post","2023","Black","Commercial","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Black","Commercial","G6/G7","G7","35","35","61190","61290"
"In post","2023","Black","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","SEO/HEO","HEO","55","55","35120","35010"
"In post","2023","Black","Commercial","SEO/HEO","SEO","75","70","43860","43320"
"In post","2023","Black","Commercial","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","EO","EO","15","15","[c]","[c]"
"In post","2023","Black","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Black","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","SEO/HEO","HEO","45","45","36160","35580"
"In post","2023","Black","Communications","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2023","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","AA/AO","AO","115","100","24820","25610"
"In post","2023","Black","Counter Fraud","EO","EO","250","235","31370","32520"
"In post","2023","Black","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","SEO/HEO","HEO","85","85","37720","39150"
"In post","2023","Black","Counter Fraud","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Black","Digital, Data and Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data and Technology","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Black","Digital, Data and Technology","EO","EO","125","125","28820","28130"
"In post","2023","Black","Digital, Data and Technology","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Black","Digital, Data and Technology","G6/G7","G7","165","165","57640","56430"
"In post","2023","Black","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data and Technology","SEO/HEO","HEO","215","215","35280","34700"
"In post","2023","Black","Digital, Data and Technology","SEO/HEO","SEO","250","250","42310","41920"
"In post","2023","Black","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Economics","EO","EO","5","5","[c]","[c]"
"In post","2023","Black","Economics","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Economics","G6/G7","G7","20","20","[c]","[c]"
"In post","2023","Black","Economics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Economics","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Black","Economics","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Black","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","AA/AO","AO","35","30","24990","25230"
"In post","2023","Black","Finance","EO","EO","65","65","29890","29910"
"In post","2023","Black","Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Black","Finance","G6/G7","G7","65","65","57790","56040"
"In post","2023","Black","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","SEO/HEO","HEO","115","115","36190","35920"
"In post","2023","Black","Finance","SEO/HEO","SEO","115","115","44350","43760"
"In post","2023","Black","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Geography","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Geography","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Geography","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Geography","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Geography","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Geography","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","AA/AO","AO","25","25","[c]","[c]"
"In post","2023","Black","Human Resources","EO","EO","75","75","29610","29660"
"In post","2023","Black","Human Resources","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Black","Human Resources","G6/G7","G7","55","55","56700","56410"
"In post","2023","Black","Human Resources","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Black","Human Resources","SEO/HEO","HEO","120","120","35490","35410"
"In post","2023","Black","Human Resources","SEO/HEO","SEO","80","80","43570","43310"
"In post","2023","Black","Human Resources","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","SEO/HEO","SEO","30","30","[c]","[c]"
"In post","2023","Black","Intelligence Analysis","AA/AO","AO","5","5","[c]","[c]"
