"Status","Year","Disability","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Birmingham","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Brent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bristol, City of","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Camden and City of London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Hampshire","90","90","45980","49260"
"In post","2023","Declared disabled","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","City of Edinburgh","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Croydon","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Darlington","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon CC","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Glasgow City","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Greater Manchester South West","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Hackney and Newham","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Herefordshire, County of","[c]","[c]","[c]","[c]"
