"Status","Year","Age","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","AA/AO","55","55","21130","20980"
"In post","2023","16-19","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","EO","10","10","25400","24610"
"In post","2023","16-19","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","19730","19920"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","EO","10","10","26910","28510"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","AA/AO","25","25","22030","22150"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","EO","10","10","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","AA/AO","85","75","20820","22500"
"In post","2023","16-19","Department for Transport","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","AA/AO","65","65","21940","21690"
"In post","2023","16-19","Department for Work and Pensions","EO","15","15","28120","28120"
"In post","2023","16-19","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Unknown","25","25","23470","22750"
"In post","2023","16-19","HM Land Registry","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","AA/AO","175","170","22750","22520"
"In post","2023","16-19","HM Revenue and Customs","EO","20","20","27870","27650"
"In post","2023","16-19","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","EO","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","AA/AO","105","95","23080","22400"
"In post","2023","16-19","Home Office","EO","30","30","26960","25750"
"In post","2023","16-19","Ministry of Defence","AA/AO","175","175","19970","19460"
"In post","2023","16-19","Ministry of Defence","EO","10","10","26880","27080"
"In post","2023","16-19","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","50","50","19310","18280"
"In post","2023","16-19","Ministry of Justice","AA/AO","310","305","26150","25480"
"In post","2023","16-19","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Unknown","35","30","20180","19090"
"In post","2023","16-19","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","AA/AO","75","75","23130","22920"
"In post","2023","16-19","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA/AO","15","10","20880","21200"
"In post","2023","16-19","UK Statistics Authority","EO","15","15","24840","24840"
"In post","2023","16-19","Welsh Government","AA/AO","10","10","22670","22150"
"In post","2023","20-29","Attorney General's Departments","AA/AO","570","560","22990","22870"
"In post","2023","20-29","Attorney General's Departments","EO","625","620","28090","27760"
"In post","2023","20-29","Attorney General's Departments","G6/G7","195","195","52200","52020"
"In post","2023","20-29","Attorney General's Departments","SEO/HEO","335","330","37180","38760"
"In post","2023","20-29","Cabinet Office","AA/AO","135","135","22640","21720"
"In post","2023","20-29","Cabinet Office","EO","315","310","26850","28050"
"In post","2023","20-29","Cabinet Office","G6/G7","395","395","57780","56430"
"In post","2023","20-29","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office","SEO/HEO","2130","2130","32540","32110"
"In post","2023","20-29","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","EO","25","25","29120","30090"
"In post","2023","20-29","Chancellor's other departments","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","SEO/HEO","35","35","38800","37690"
"In post","2023","20-29","Charity Commission","AA/AO","10","10","21500","21100"
"In post","2023","20-29","Charity Commission","EO","30","30","25330","25300"
"In post","2023","20-29","Charity Commission","SEO/HEO","35","35","32080","30170"
"In post","2023","20-29","Competition and Markets Authority","AA/AO","20","20","23200","23200"
"In post","2023","20-29","Competition and Markets Authority","EO","25","25","27840","27550"
"In post","2023","20-29","Competition and Markets Authority","G6/G7","45","45","56870","55130"
"In post","2023","20-29","Competition and Markets Authority","SEO/HEO","85","85","35860","34110"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","335","330","21830","21500"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","EO","485","480","27030","26650"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","655","655","56610","55120"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy","SEO/HEO","1645","1640","37700","37470"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","EO","100","100","27600","27230"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","G6/G7","185","185","54580","53030"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","380","380","36760","35620"
"In post","2023","20-29","Department for Education","AA/AO","25","25","22720","22020"
"In post","2023","20-29","Department for Education","EO","315","310","27150","25900"
"In post","2023","20-29","Department for Education","G6/G7","270","270","54290","55020"
"In post","2023","20-29","Department for Education","SEO/HEO","970","960","36120","37590"
"In post","2023","20-29","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","AA/AO","575","565","22580","22150"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","EO","530","525","26880","25920"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","G6/G7","200","195","53340","54330"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","SEO/HEO","1090","1080","34750","33830"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","EO","145","145","28810","29280"
"In post","2023","20-29","Department for International Trade","G6/G7","255","255","56630","55370"
"In post","2023","20-29","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","SEO/HEO","750","750","37960","36030"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","AA/AO","45","45","22260","21960"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","EO","115","110","28030","28850"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","G6/G7","245","245","54940","54630"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities","SEO/HEO","530","525","36160","34310"
"In post","2023","20-29","Department for Transport","AA/AO","855","810","22140","22500"
"In post","2023","20-29","Department for Transport","EO","375","370","28390","26960"
"In post","2023","20-29","Department for Transport","G6/G7","245","245","56360","55740"
"In post","2023","20-29","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Transport","SEO/HEO","780","780","37640","35760"
"In post","2023","20-29","Department for Work and Pensions","AA/AO","3135","3035","22080","21690"
"In post","2023","20-29","Department for Work and Pensions","EO","4395","4310","28960","28120"
"In post","2023","20-29","Department for Work and Pensions","G6/G7","170","170","55340","55150"
"In post","2023","20-29","Department for Work and Pensions","SEO/HEO","1310","1305","36610","34170"
"In post","2023","20-29","Department of Health and Social Care","AA/AO","200","190","22470","21640"
"In post","2023","20-29","Department of Health and Social Care","EO","480","475","27170","27840"
"In post","2023","20-29","Department of Health and Social Care","G6/G7","360","360","55550","54690"
"In post","2023","20-29","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department of Health and Social Care","SEO/HEO","1160","1150","36160","34190"
"In post","2023","20-29","Estyn","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","EO","30","30","27410","26910"
"In post","2023","20-29","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","SEO/HEO","120","120","35550","33820"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","AA/AO","160","160","26210","25700"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","EO","270","270","30040","29900"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","G6/G7","200","200","54950","54960"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","SEO/HEO","920","920","37610","36620"
"In post","2023","20-29","Foreign, Commonwealth and Development Office","Unknown","30","30","25140","23800"
"In post","2023","20-29","HM Land Registry","AA/AO","425","415","23400","23390"
"In post","2023","20-29","HM Land Registry","EO","445","435","28500","28080"
"In post","2023","20-29","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Land Registry","SEO/HEO","165","165","37340","34850"
"In post","2023","20-29","HM Revenue and Customs","AA/AO","4350","4205","22720","22520"
"In post","2023","20-29","HM Revenue and Customs","EO","3270","3235","28390","27890"
"In post","2023","20-29","HM Revenue and Customs","G6/G7","485","485","59920","57970"
"In post","2023","20-29","HM Revenue and Customs","SEO/HEO","3355","3340","37130","35000"
"In post","2023","20-29","HM Treasury","AA/AO","30","30","23100","23210"
"In post","2023","20-29","HM Treasury","EO","130","130","26760","27820"
"In post","2023","20-29","HM Treasury","G6/G7","270","270","54760","54090"
"In post","2023","20-29","HM Treasury","SEO/HEO","505","500","34260","33630"
"In post","2023","20-29","Home Office","AA/AO","2410","2335","22930","22400"
"In post","2023","20-29","Home Office","EO","3310","3280","26920","25880"
"In post","2023","20-29","Home Office","G6/G7","330","330","59720","59290"
"In post","2023","20-29","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Home Office","SEO/HEO","1735","1730","37130","36180"
"In post","2023","20-29","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Ministry of Defence","AA/AO","2120","2100","24080","22220"
"In post","2023","20-29","Ministry of Defence","EO","1320","1310","27640","27140"
"In post","2023","20-29","Ministry of Defence","G6/G7","205","200","55060","55110"
"In post","2023","20-29","Ministry of Defence","SEO/HEO","3385","3370","35850","33990"
"In post","2023","20-29","Ministry of Defence","Unknown","860","855","31320","31920"
"In post","2023","20-29","Ministry of Justice","AA/AO","9450","9265","27800","28880"
"In post","2023","20-29","Ministry of Justice","EO","1730","1710","30100","29660"
"In post","2023","20-29","Ministry of Justice","G6/G7","230","230","57410","55720"
"In post","2023","20-29","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
