"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","London","165","165","46190","40860"
"In post","2023","Asian","Analysis","Economics","Outside London","40","40","35180","34170"
"In post","2023","Asian","Analysis","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","London","30","30","31870","28550"
"In post","2023","Asian","Analysis","Operational Delivery","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Research","London","40","40","49520","44940"
"In post","2023","Asian","Analysis","Operational Research","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Other","London","60","60","45780","39000"
"In post","2023","Asian","Analysis","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Policy","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Policy","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Science and Engineering","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Social Research","London","35","35","48730","44710"
"In post","2023","Asian","Analysis","Social Research","Outside London","30","30","37990","38470"
"In post","2023","Asian","Analysis","Statistics","London","145","145","45810","43650"
"In post","2023","Asian","Analysis","Statistics","Outside London","85","80","38730","37760"
"In post","2023","Asian","Analysis","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Commercial","London","165","165","52840","46480"
"In post","2023","Asian","Commercial","Commercial","Outside London","145","145","42560","37060"
"In post","2023","Asian","Commercial","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Operational Delivery","London","50","45","47620","36820"
"In post","2023","Asian","Commercial","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
