"Status","Year","Ethnicity","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","Heterosexual / straight","80","80","29320","29080"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","Heterosexual / straight","310","305","48100","43470"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","Unknown","5","5","[c]","[c]"
