"Status","Year","Age","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Crown Prosecution Service","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Work and Pensions (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HM Revenue and Customs (excl. agencies)","Outside London","30","30","23070","22520"
"In post","2023","16-19","Asian","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
