"Status","Year","Disability","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","AO","50","50","24280","24480"
"In post","2023","Declared disabled","Attorney General's Departments","London","EO","90","80","29620","29330"
"In post","2023","Declared disabled","Attorney General's Departments","London","G6","70","65","71870","69820"
"In post","2023","Declared disabled","Attorney General's Departments","London","G7","160","150","59310","56080"
"In post","2023","Declared disabled","Attorney General's Departments","London","HEO","50","45","36470","35550"
"In post","2023","Declared disabled","Attorney General's Departments","London","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","London","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","AO","160","145","23000","22870"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","EO","155","145","28290","28310"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","G7","265","240","56470","56450"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","HEO","65","65","33420","32660"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Outside London","SEO","55","55","40000","38940"
"In post","2023","Declared disabled","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","London","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","London","EO","60","60","28960","28370"
"In post","2023","Declared disabled","Cabinet Office","London","G6","70","70","70360","66990"
"In post","2023","Declared disabled","Cabinet Office","London","G7","170","165","58660","56430"
"In post","2023","Declared disabled","Cabinet Office","London","HEO","285","280","32090","30130"
"In post","2023","Declared disabled","Cabinet Office","London","SCS level","45","45","98950","85670"
"In post","2023","Declared disabled","Cabinet Office","London","SEO","85","85","42110","41870"
"In post","2023","Declared disabled","Cabinet Office","Outside London","AO","60","55","21780","21720"
"In post","2023","Declared disabled","Cabinet Office","Outside London","EO","70","65","25850","25670"
"In post","2023","Declared disabled","Cabinet Office","Outside London","G6","45","45","73990","72500"
"In post","2023","Declared disabled","Cabinet Office","Outside London","G7","145","145","56780","54850"
"In post","2023","Declared disabled","Cabinet Office","Outside London","HEO","195","195","31990","32960"
"In post","2023","Declared disabled","Cabinet Office","Outside London","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Outside London","SEO","100","95","39670","39860"
"In post","2023","Declared disabled","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","London","HEO","5","5","[c]","[c]"
