"Status","Year","Parent_department","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","Heterosexual / straight","50","50","45140","40540"
"In post","2023","Attorney General's Departments","Communications","London","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","Heterosexual / straight","175","170","46950","41400"
"In post","2023","Attorney General's Departments","Counter Fraud","London","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","London","Unknown","35","35","49970","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","Heterosexual / straight","85","85","49550","44310"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","Heterosexual / straight","85","80","40550","38940"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","London","Heterosexual / straight","70","65","38220","31640"
"In post","2023","Attorney General's Departments","Finance","London","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","London","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Outside London","Heterosexual / straight","120","110","29960","27400"
"In post","2023","Attorney General's Departments","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","London","Heterosexual / straight","100","95","42760","35280"
"In post","2023","Attorney General's Departments","Human Resources","London","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","London","Unknown","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","Heterosexual / straight","105","100","37390","32520"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","Heterosexual / straight","40","35","45090","40540"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","Heterosexual / straight","35","30","39700","38940"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","London","Heterosexual / straight","1900","1785","59570","57590"
"In post","2023","Attorney General's Departments","Legal","London","LGBO","160","155","60800","57910"
"In post","2023","Attorney General's Departments","Legal","London","Undeclared","185","180","60200","63280"
"In post","2023","Attorney General's Departments","Legal","London","Unknown","565","510","64980","65750"
"In post","2023","Attorney General's Departments","Legal","Outside London","Heterosexual / straight","2030","1900","54110","54100"
"In post","2023","Attorney General's Departments","Legal","Outside London","LGBO","95","90","51850","54100"
"In post","2023","Attorney General's Departments","Legal","Outside London","Undeclared","85","80","52300","53340"
"In post","2023","Attorney General's Departments","Legal","Outside London","Unknown","585","525","57300","56450"
"In post","2023","Attorney General's Departments","Legal","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","London","Heterosexual / straight","780","745","30580","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","London","LGBO","65","60","31840","28540"
"In post","2023","Attorney General's Departments","Operational Delivery","London","Undeclared","50","50","28640","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","London","Unknown","195","180","31010","29900"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","Heterosexual / straight","1860","1740","27450","26900"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","LGBO","145","140","27280","26900"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","Undeclared","75","70","26330","24480"
"In post","2023","Attorney General's Departments","Operational Delivery","Outside London","Unknown","395","350","27090","27140"
"In post","2023","Attorney General's Departments","Operational Delivery","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","London","Heterosexual / straight","35","35","44170","30610"
"In post","2023","Attorney General's Departments","Other","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","London","Heterosexual / straight","55","55","56380","55850"
"In post","2023","Attorney General's Departments","Policy","London","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","London","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","Outside London","Heterosexual / straight","50","50","45960","43090"
"In post","2023","Attorney General's Departments","Policy","Outside London","LGBO","5","5","[c]","[c]"
