"Status","Year","Disability","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Human Resources","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","London","265","250","60740","63100"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","Outside London","325","295","54280","55610"
"In post","2023","Declared disabled","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","London","120","110","30480","28410"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","Outside London","315","290","27860","26900"
"In post","2023","Declared disabled","Attorney General's Departments","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Policy","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Project Delivery","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Security","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","Commercial","London","85","85","66630","60860"
"In post","2023","Declared disabled","Cabinet Office","Commercial","Outside London","140","140","59280","56200"
