"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","East of England","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","London","London","210","205","50420","43750"
"In post","2023","Asian","Commercial","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","North West (England)","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","South West (England)","Outside London","35","30","42640","38940"
"In post","2023","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","West Midlands (England)","Outside London","45","45","41910","38290"
"In post","2023","Asian","Commercial","Yorkshire and The Humber","Outside London","45","45","41420","34970"
"In post","2023","Asian","Communications","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","London","130","130","42010","39460"
"In post","2023","Asian","Communications","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","West Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Communications","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","London","15","15","[c]","[c]"
"In post","2023","Asian","Corporate Finance","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","East Midlands (England)","Outside London","50","50","29880","28120"
"In post","2023","Asian","Counter Fraud","East of England","Outside London","25","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","London","London","390","360","32660","32520"
"In post","2023","Asian","Counter Fraud","North East (England)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","North West (England)","Outside London","55","55","29310","28120"
"In post","2023","Asian","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Scotland","Outside London","20","15","[c]","[c]"
"In post","2023","Asian","Counter Fraud","South East (England)","Outside London","75","65","29990","31280"
"In post","2023","Asian","Counter Fraud","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Wales","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","West Midlands (England)","Outside London","140","135","28970","28120"
"In post","2023","Asian","Counter Fraud","Yorkshire and The Humber","Outside London","60","60","29830","28120"
"In post","2023","Asian","Digital, Data and Technology","East Midlands (England)","Outside London","30","30","33850","31270"
"In post","2023","Asian","Digital, Data and Technology","East of England","Outside London","30","30","39490","37280"
"In post","2023","Asian","Digital, Data and Technology","London","London","850","840","49540","45170"
"In post","2023","Asian","Digital, Data and Technology","North East (England)","Outside London","90","85","43990","42140"
"In post","2023","Asian","Digital, Data and Technology","North West (England)","Outside London","205","200","39700","37680"
"In post","2023","Asian","Digital, Data and Technology","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Scotland","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","South East (England)","Outside London","65","60","42360","37740"
"In post","2023","Asian","Digital, Data and Technology","South West (England)","Outside London","75","75","38770","36860"
"In post","2023","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Wales","Outside London","60","60","39410","38000"
"In post","2023","Asian","Digital, Data and Technology","West Midlands (England)","Outside London","220","215","41020","38050"
"In post","2023","Asian","Digital, Data and Technology","Yorkshire and The Humber","Outside London","150","145","42350","38760"
"In post","2023","Asian","Economics","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","London","London","195","190","47290","42360"
"In post","2023","Asian","Economics","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Economics","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Economics","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Wales","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Economics","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Economics","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Finance","East Midlands (England)","Outside London","30","30","38130","36170"
"In post","2023","Asian","Finance","East of England","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Finance","London","London","525","510","46170","43210"
"In post","2023","Asian","Finance","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Finance","North West (England)","Outside London","60","60","39200","34850"
"In post","2023","Asian","Finance","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Scotland","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Finance","South East (England)","Outside London","40","40","35560","29140"
"In post","2023","Asian","Finance","South West (England)","Outside London","50","45","40830","35200"
"In post","2023","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Wales","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Finance","West Midlands (England)","Outside London","125","120","36270","34170"
"In post","2023","Asian","Finance","Yorkshire and The Humber","Outside London","60","60","38370","35000"
"In post","2023","Asian","Geography","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","East Midlands (England)","Outside London","35","30","38630","35000"
"In post","2023","Asian","Human Resources","East of England","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","London","London","395","380","42110","38730"
"In post","2023","Asian","Human Resources","North East (England)","Outside London","15","10","[c]","[c]"
"In post","2023","Asian","Human Resources","North West (England)","Outside London","45","45","34620","34170"
"In post","2023","Asian","Human Resources","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","South East (England)","Outside London","50","45","33530","34060"
"In post","2023","Asian","Human Resources","South West (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Wales","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Human Resources","West Midlands (England)","Outside London","50","50","35820","32710"
"In post","2023","Asian","Human Resources","Yorkshire and The Humber","Outside London","40","35","33010","31270"
"In post","2023","Asian","Inspector of Education and Training","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
