"Status","Year","Organisation","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","Outside London","125","115","34020","31940"
"In post","2023","Active Travel England","London","London","10","10","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Outside London","40","40","52260","50240"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","105","95","30870","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Outside London","40","40","35110","35000"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","London","175","170","43730","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","140","125","31320","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","150","135","32280","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Outside London","95","85","32770","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Outside London","30","25","35880","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Outside London","50","45","34790","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Outside London","85","80","32190","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Outside London","75","70","33200","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Outside London","70","60","33730","32110"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","Outside London","85","80","33920","30320"
"In post","2023","Animal and Plant Health Agency","East of England","Outside London","145","140","33130","30320"
"In post","2023","Animal and Plant Health Agency","London","London","90","85","37770","33030"
"In post","2023","Animal and Plant Health Agency","North East (England)","Outside London","55","50","33080","28440"
"In post","2023","Animal and Plant Health Agency","North West (England)","Outside London","325","310","28440","25920"
"In post","2023","Animal and Plant Health Agency","Scotland","Outside London","150","145","31930","26850"
"In post","2023","Animal and Plant Health Agency","South East (England)","Outside London","800","765","33860","29530"
"In post","2023","Animal and Plant Health Agency","South West (England)","Outside London","480","460","29580","25920"
