"Status","Year","Age","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","15","15","24020","23890"
"In post","2023","16-19","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Cabinet Office","15","15","25130","24610"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Attorney General's Departments","55","55","21270","20980"
"In post","2023","16-19","Defence Electronics and Components Agency","Ministry of Defence","10","10","17040","15780"
"In post","2023","16-19","Defence Equipment and Support","Ministry of Defence","105","105","19240","18780"
"In post","2023","16-19","Defence Science and Technology Laboratory","Ministry of Defence","30","30","21790","23340"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","10","10","26970","28510"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Department for Education","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","10","10","22100","22150"
"In post","2023","16-19","Department for International Trade","Department for International Trade","10","10","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Department for Transport","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","75","70","23130","21690"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Department for Transport","80","70","20690","19000"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","16-19","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Foreign, Commonwealth and Development Office","30","30","23980","23660"
"In post","2023","16-19","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","25","25","22110","21780"
"In post","2023","16-19","HM Land Registry","HM Land Registry","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Ministry of Justice","305","300","26010","26070"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","175","170","23250","22520"
"In post","2023","16-19","HM Treasury (excl. agencies)","HM Treasury","5","5","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","135","130","23960","22400"
"In post","2023","16-19","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","40","40","23370","22220"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","Ministry of Justice","10","5","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Ministry of Defence","30","30","19370","17400"
"In post","2023","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","Scottish Government","15","15","22760","22760"
"In post","2023","16-19","Scottish Prison Service","Scottish Government","15","15","23460","24710"
"In post","2023","16-19","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","Scottish Government","15","15","22720","22180"
"In post","2023","16-19","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Ministry of Defence","20","20","19220","18280"
"In post","2023","16-19","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","UK Statistics Authority","30","30","23120","24840"
"In post","2023","16-19","Valuation Office Agency","HM Revenue and Customs","20","20","23490","22520"
"In post","2023","16-19","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Welsh Government","10","10","22670","22150"
"In post","2023","20-29","Accountant in Bankruptcy","Scottish Government","20","20","26630","24890"
"In post","2023","20-29","Active Travel England","Department for Transport","10","10","37590","39430"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","65","65","28400","25160"
"In post","2023","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","565","560","27030","25920"
"In post","2023","20-29","Attorney General's Office","Attorney General's Departments","15","15","37600","32890"
"In post","2023","20-29","Building Digital UK","Department for Digital, Culture, Media and Sport","70","70","38950","35620"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Cabinet Office","1245","1240","38140","35650"
"In post","2023","20-29","Central Civil Service Fast Stream","Cabinet Office","1470","1465","30650","30130"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","110","110","27390","25970"
"In post","2023","20-29","Charity Commission","Charity Commission","75","75","27910","25300"
"In post","2023","20-29","Companies House","Department for Business, Energy and Industrial Strategy","155","155","28120","25610"
"In post","2023","20-29","Competition and Markets Authority","Competition and Markets Authority","175","175","38520","34110"
"In post","2023","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","50","50","24780","21780"
"In post","2023","20-29","Crown Commercial Service","Cabinet Office","120","115","32080","31830"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","565","555","31750","28700"
"In post","2023","20-29","Crown Prosecution Service","Attorney General's Departments","1245","1235","28610","26900"
"In post","2023","20-29","Defence Electronics and Components Agency","Ministry of Defence","50","50","22990","22210"
"In post","2023","20-29","Defence Equipment and Support","Ministry of Defence","1815","1805","29530","28850"
"In post","2023","20-29","Defence Science and Technology Laboratory","Ministry of Defence","1170","1165","31440","30650"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","2045","2040","42910","41060"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","595","595","40480","35620"
"In post","2023","20-29","Department for Education (excl. agencies)","Department for Education","1390","1380","37770","37590"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","1285","1275","36660","33830"
"In post","2023","20-29","Department for International Trade","Department for International Trade","1155","1150","40930","40530"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","850","845","40600","37540"
"In post","2023","20-29","Department for Transport (excl. agencies)","Department for Transport","975","970","41520","39430"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","8655","8470","28100","28120"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1015","1010","40200","38120"
"In post","2023","20-29","Disclosure Scotland","Scottish Government","70","65","27060","23340"
"In post","2023","20-29","Driver and Vehicle Licensing Agency","Department for Transport","775","730","23500","22500"
"In post","2023","20-29","Driver and Vehicle Standards Agency","Department for Transport","300","295","27510","26960"
"In post","2023","20-29","Education Scotland","Scottish Government","20","20","29110","27410"
"In post","2023","20-29","Education and Skills Funding Agency","Department for Education","110","110","34080","30710"
"In post","2023","20-29","Estyn","Estyn","10","10","[c]","[c]"
"In post","2023","20-29","FCDO Services","Foreign, Commonwealth and Development Office","160","160","30590","29400"
"In post","2023","20-29","Food Standards Agency","Food Standards Agency","160","160","34680","33000"
"In post","2023","20-29","Food Standards Scotland","Scottish Government","35","35","32000","29450"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","1410","1410","37980","36620"
"In post","2023","20-29","Forestry and Land Scotland","Scottish Government","135","135","28300","28140"
"In post","2023","20-29","Government Actuary's Department","Chancellor's other departments","55","55","38670","35960"
"In post","2023","20-29","Government Commercial Organisation","Cabinet Office","90","90","61670","65500"
"In post","2023","20-29","Government Internal Audit Agency","HM Treasury","35","35","34260","33420"
"In post","2023","20-29","Government Legal Department","Attorney General's Departments","390","385","37420","33630"
"In post","2023","20-29","Government Property Agency","Cabinet Office","60","60","37490","35590"
"In post","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","2090","2025","25770","22390"
"In post","2023","20-29","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Land Registry","HM Land Registry","1035","1010","27870","28080"
"In post","2023","20-29","HM Prison and Probation Service","Ministry of Justice","13600","13375","28530","28880"
"In post","2023","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","10770","10580","30190","27890"
"In post","2023","20-29","HM Treasury (excl. agencies)","HM Treasury","850","845","38920","33820"
"In post","2023","20-29","Health and Safety Executive","Department for Work and Pensions","355","355","30150","27350"
"In post","2023","20-29","Home Office","Home Office","7785","7680","29340","25880"
"In post","2023","20-29","Institute for Apprenticeships and Technical Education","Department for Education","40","40","34640","34480"
"In post","2023","20-29","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","265","260","31710","28300"
"In post","2023","20-29","Legal Aid Agency","Ministry of Justice","130","125","24040","21780"
"In post","2023","20-29","Maritime and Coastguard Agency","Department for Transport","160","160","28090","26960"
"In post","2023","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","195","195","35050","33500"
"In post","2023","20-29","Met Office","Department for Business, Energy and Industrial Strategy","375","375","27890","26650"
"In post","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","3835","3810","32310","30200"
"In post","2023","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","1420","1410","37670","35410"
"In post","2023","20-29","National Crime Agency","National Crime Agency","760","755","36330","36040"
"In post","2023","20-29","National Infrastructure Commission","HM Treasury","15","15","38390","32790"
"In post","2023","20-29","National Records of Scotland","Scottish Government","55","55","30080","29100"
"In post","2023","20-29","National Savings and Investments","Chancellor's other departments","15","15","32560","32000"
"In post","2023","20-29","Northern Ireland Office","Northern Ireland Office","40","40","42280","40670"
"In post","2023","20-29","Office for Budget Responsibility","HM Treasury","20","20","40070","38030"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","175","175","30430","27400"
"In post","2023","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","380","380","32180","30950"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","55","55","31350","31310"
"In post","2023","20-29","Office of Rail and Road","Office of Rail and Road","35","35","35440","35000"
"In post","2023","20-29","Office of the Public Guardian","Ministry of Justice","410","390","23060","21780"
"In post","2023","20-29","Office of the Scottish Charity Regulator","Scottish Government","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","35","35","37920","35410"
"In post","2023","20-29","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","15","15","35670","33000"
"In post","2023","20-29","Planning Inspectorate","Department for Levelling Up, Housing and Communities","70","70","28050","26590"
"In post","2023","20-29","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","10","10","30000","29000"
"In post","2023","20-29","Registers of Scotland","Scottish Government","155","155","30320","30260"
"In post","2023","20-29","Revenue Scotland","Scottish Government","15","15","32010","29270"
"In post","2023","20-29","Royal Fleet Auxiliary","Ministry of Defence","375","375","32320","33320"
"In post","2023","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","430","420","23860","22150"
"In post","2023","20-29","Scottish Courts and Tribunals Service","Scottish Government","295","290","26630","25060"
"In post","2023","20-29","Scottish Fiscal Commission","Scottish Government","5","5","[c]","[c]"
"In post","2023","20-29","Scottish Forestry","Scottish Government","15","15","31810","31180"
"In post","2023","20-29","Scottish Government (excl. agencies)","Scottish Government","1540","1525","34330","33520"
"In post","2023","20-29","Scottish Prison Service","Scottish Government","655","650","28600","26930"
"In post","2023","20-29","Scottish Public Pensions Agency","Scottish Government","55","50","27810","26600"
"In post","2023","20-29","Serious Fraud Office","Attorney General's Departments","75","75","34120","34500"
"In post","2023","20-29","Social Security Scotland","Scottish Government","830","810","27580","27740"
"In post","2023","20-29","Standards and Testing Agency","Department for Education","15","15","35240","30710"
"In post","2023","20-29","Student Awards Agency for Scotland","Scottish Government","75","75","25770","24890"
"In post","2023","20-29","Submarine Delivery Agency","Ministry of Defence","485","480","30500","31920"
"In post","2023","20-29","Teaching Regulation Agency","Department for Education","25","25","28540","26730"
"In post","2023","20-29","The Insolvency Service","Department for Business, Energy and Industrial Strategy","150","150","27350","24620"
"In post","2023","20-29","The National Archives","The National Archives","90","90","29520","26800"
"In post","2023","20-29","Transport Scotland","Scottish Government","70","70","34150","33520"
"In post","2023","20-29","UK Debt Management Office","HM Treasury","15","15","43340","40000"
"In post","2023","20-29","UK Export Finance","UK Export Finance","125","125","40410","37150"
"In post","2023","20-29","UK Health Security Agency","Department of Health and Social Care","1000","975","32350","29590"
"In post","2023","20-29","UK Hydrographic Office","Ministry of Defence","160","160","29190","27610"
"In post","2023","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","60","60","41670","41060"
"In post","2023","20-29","UK Statistics Authority","UK Statistics Authority","1285","1255","32610","31560"
"In post","2023","20-29","UK Supreme Court","UK Supreme Court","15","15","29890","26420"
"In post","2023","20-29","Valuation Office Agency","HM Revenue and Customs","695","685","29380","26890"
"In post","2023","20-29","Vehicle Certification Agency","Department for Transport","35","35","29290","27240"
"In post","2023","20-29","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","10","10","33060","33830"
"In post","2023","20-29","Water Services Regulation Authority","Water Services Regulation Authority","45","45","35740","35330"
"In post","2023","20-29","Welsh Government (excl. agencies)","Welsh Government","545","530","29680","26900"
"In post","2023","20-29","Welsh Revenue Authority","Welsh Government","10","10","32210","30610"
"In post","2023","20-29","Wilton Park","Foreign, Commonwealth and Development Office","10","10","27080","25690"
"In post","2023","30-39","Accountant in Bankruptcy","Scottish Government","30","25","31450","29450"
"In post","2023","30-39","Active Travel England","Department for Transport","15","15","56270","56740"
"In post","2023","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","225","210","32550","32110"
"In post","2023","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","650","620","30160","29080"
"In post","2023","30-39","Attorney General's Office","Attorney General's Departments","20","20","50990","52020"
"In post","2023","30-39","Building Digital UK","Department for Digital, Culture, Media and Sport","75","75","46710","52760"
"In post","2023","30-39","Cabinet Office (excl. agencies)","Cabinet Office","1825","1785","49330","51290"
"In post","2023","30-39","Central Civil Service Fast Stream","Cabinet Office","160","160","31270","30130"
"In post","2023","30-39","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","165","160","33990","30820"
"In post","2023","30-39","Charity Commission","Charity Commission","115","115","35120","30170"
"In post","2023","30-39","Companies House","Department for Business, Energy and Industrial Strategy","265","255","32710","28070"
"In post","2023","30-39","Competition and Markets Authority","Competition and Markets Authority","310","305","61520","59910"
"In post","2023","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","80","75","27840","25830"
"In post","2023","30-39","Crown Commercial Service","Cabinet Office","240","230","39560","40330"
"In post","2023","30-39","Crown Office and Procurator Fiscal Service","Scottish Government","655","630","41980","37940"
"In post","2023","30-39","Crown Prosecution Service","Attorney General's Departments","1330","1265","41070","39710"
"In post","2023","30-39","Defence Electronics and Components Agency","Ministry of Defence","25","25","31100","28710"
"In post","2023","30-39","Defence Equipment and Support","Ministry of Defence","2315","2215","38500","38790"
"In post","2023","30-39","Defence Science and Technology Laboratory","Ministry of Defence","1150","1120","41870","39890"
"In post","2023","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","1910","1870","52480","55120"
"In post","2023","30-39","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","660","645","52330","53030"
"In post","2023","30-39","Department for Education (excl. agencies)","Department for Education","2010","1940","45740","43250"
"In post","2023","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","1630","1570","44510","40260"
"In post","2023","30-39","Department for International Trade","Department for International Trade","1000","985","51480","55370"
"In post","2023","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","960","940","50080","54630"
"In post","2023","30-39","Department for Transport (excl. agencies)","Department for Transport","1035","1015","52470","55740"
"In post","2023","30-39","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","13835","12785","29720","28120"
"In post","2023","30-39","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1020","985","50550","52800"
"In post","2023","30-39","Disclosure Scotland","Scottish Government","105","100","29450","24890"
"In post","2023","30-39","Driver and Vehicle Licensing Agency","Department for Transport","1560","1410","26860","22500"
"In post","2023","30-39","Driver and Vehicle Standards Agency","Department for Transport","685","670","29520","27400"
"In post","2023","30-39","Education Scotland","Scottish Government","55","50","46770","52360"
"In post","2023","30-39","Education and Skills Funding Agency","Department for Education","180","170","40250","37590"
"In post","2023","30-39","Estyn","Estyn","15","15","36230","30610"
"In post","2023","30-39","FCDO Services","Foreign, Commonwealth and Development Office","205","200","39820","37170"
"In post","2023","30-39","Food Standards Agency","Food Standards Agency","350","345","38790","38100"
"In post","2023","30-39","Food Standards Scotland","Scottish Government","80","75","36200","36330"
"In post","2023","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","2110","2090","49800","53050"
"In post","2023","30-39","Forestry and Land Scotland","Scottish Government","235","235","33460","31180"
"In post","2023","30-39","Government Actuary's Department","Chancellor's other departments","70","70","71630","68110"
"In post","2023","30-39","Government Commercial Organisation","Cabinet Office","320","315","67220","66270"
"In post","2023","30-39","Government Internal Audit Agency","HM Treasury","65","65","47510","48780"
"In post","2023","30-39","Government Legal Department","Attorney General's Departments","810","775","52750","52790"
"In post","2023","30-39","Government Property Agency","Cabinet Office","85","85","47800","50610"
"In post","2023","30-39","HM Courts and Tribunals Service","Ministry of Justice","2740","2505","28260","25480"
"In post","2023","30-39","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","30-39","HM Land Registry","HM Land Registry","1220","1155","30870","28080"
"In post","2023","30-39","HM Prison and Probation Service","Ministry of Justice","16060","15365","31950","31510"
"In post","2023","30-39","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","16680","16010","35430","34700"
"In post","2023","30-39","HM Treasury (excl. agencies)","HM Treasury","695","685","54140","54440"
"In post","2023","30-39","Health and Safety Executive","Department for Work and Pensions","470","455","38910","37180"
"In post","2023","30-39","Home Office","Home Office","10285","9815","33280","27690"
"In post","2023","30-39","Institute for Apprenticeships and Technical Education","Department for Education","115","115","46340","51460"
"In post","2023","30-39","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","455","440","38860","39340"
"In post","2023","30-39","Legal Aid Agency","Ministry of Justice","300","275","27620","25830"
"In post","2023","30-39","Maritime and Coastguard Agency","Department for Transport","340","330","33690","31660"
"In post","2023","30-39","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","300","295","47120","42060"
"In post","2023","30-39","Met Office","Department for Business, Energy and Industrial Strategy","605","580","37870","37420"
"In post","2023","30-39","Ministry of Defence (excl. agencies)","Ministry of Defence","6365","6170","37300","34300"
"In post","2023","30-39","Ministry of Justice (excl. agencies)","Ministry of Justice","1880","1835","44570","43650"
"In post","2023","30-39","National Crime Agency","National Crime Agency","1405","1375","40560","38640"
"In post","2023","30-39","National Infrastructure Commission","HM Treasury","20","15","56850","53410"
"In post","2023","30-39","National Records of Scotland","Scottish Government","95","90","37850","36940"
"In post","2023","30-39","National Savings and Investments","Chancellor's other departments","50","50","43850","44100"
"In post","2023","30-39","Northern Ireland Office","Northern Ireland Office","45","45","49270","43650"
"In post","2023","30-39","Office for Budget Responsibility","HM Treasury","15","15","59000","56630"
"In post","2023","30-39","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","435","420","45480","41050"
"In post","2023","30-39","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","570","565","46600","45610"
"In post","2023","30-39","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","85","85","42840","39140"
"In post","2023","30-39","Office of Rail and Road","Office of Rail and Road","90","90","48600","51830"
"In post","2023","30-39","Office of the Public Guardian","Ministry of Justice","530","490","24530","21780"
"In post","2023","30-39","Office of the Scottish Charity Regulator","Scottish Government","5","5","[c]","[c]"
"In post","2023","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","45","45","54140","54870"
"In post","2023","30-39","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","10","10","50610","51770"
"In post","2023","30-39","Planning Inspectorate","Department for Levelling Up, Housing and Communities","155","145","41640","41560"
"In post","2023","30-39","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","30-39","Registers of Scotland","Scottish Government","240","235","35020","32510"
"In post","2023","30-39","Revenue Scotland","Scottish Government","25","25","42000","36330"
"In post","2023","30-39","Royal Fleet Auxiliary","Ministry of Defence","375","375","42160","41300"
"In post","2023","30-39","Rural Payments Agency","Department for Environment, Food and Rural Affairs","530","500","26450","22150"
"In post","2023","30-39","Scottish Courts and Tribunals Service","Scottish Government","440","415","30780","31970"
"In post","2023","30-39","Scottish Fiscal Commission","Scottish Government","5","5","[c]","[c]"
"In post","2023","30-39","Scottish Forestry","Scottish Government","45","45","34750","33260"
"In post","2023","30-39","Scottish Government (excl. agencies)","Scottish Government","2515","2430","44720","42860"
"In post","2023","30-39","Scottish Housing Regulator","Scottish Government","10","10","[c]","[c]"
"In post","2023","30-39","Scottish Prison Service","Scottish Government","1265","1230","33560","34330"
"In post","2023","30-39","Scottish Public Pensions Agency","Scottish Government","85","80","31990","28420"
"In post","2023","30-39","Serious Fraud Office","Attorney General's Departments","105","105","48710","51840"
"In post","2023","30-39","Social Security Scotland","Scottish Government","1240","1185","31250","29100"
"In post","2023","30-39","Standards and Testing Agency","Department for Education","50","50","44290","43250"
"In post","2023","30-39","Student Awards Agency for Scotland","Scottish Government","55","55","31650","31940"
"In post","2023","30-39","Submarine Delivery Agency","Ministry of Defence","465","455","41800","42500"
"In post","2023","30-39","Teaching Regulation Agency","Department for Education","25","25","32130","30330"
"In post","2023","30-39","The Insolvency Service","Department for Business, Energy and Industrial Strategy","290","275","31970","29240"
"In post","2023","30-39","The National Archives","The National Archives","125","125","36400","35330"
"In post","2023","30-39","Transport Scotland","Scottish Government","130","125","43250","41640"
"In post","2023","30-39","UK Debt Management Office","HM Treasury","25","25","55620","50000"
"In post","2023","30-39","UK Export Finance","UK Export Finance","115","115","56060","53190"
"In post","2023","30-39","UK Health Security Agency","Department of Health and Social Care","1370","1300","42610","39350"
"In post","2023","30-39","UK Hydrographic Office","Ministry of Defence","250","240","37260","34370"
"In post","2023","30-39","UK Space Agency","Department for Business, Energy and Industrial Strategy","105","100","47380","43740"
"In post","2023","30-39","UK Statistics Authority","UK Statistics Authority","1550","1450","38200","37760"
"In post","2023","30-39","UK Supreme Court","UK Supreme Court","10","10","40410","37230"
"In post","2023","30-39","Valuation Office Agency","HM Revenue and Customs","730","695","34340","32260"
"In post","2023","30-39","Vehicle Certification Agency","Department for Transport","65","60","38240","35280"
"In post","2023","30-39","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","40","35","40760","40260"
"In post","2023","30-39","Water Services Regulation Authority","Water Services Regulation Authority","55","55","51360","48000"
"In post","2023","30-39","Welsh Government (excl. agencies)","Welsh Government","1200","1145","39930","39690"
"In post","2023","30-39","Welsh Revenue Authority","Welsh Government","30","25","47880","47670"
"In post","2023","30-39","Wilton Park","Foreign, Commonwealth and Development Office","15","10","32600","31620"
"In post","2023","40-49","Accountant in Bankruptcy","Scottish Government","40","35","34420","31940"
"In post","2023","40-49","Active Travel England","Department for Transport","20","20","59990","53950"
"In post","2023","40-49","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","255","240","34590","32110"
"In post","2023","40-49","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","760","720","33720","30320"
"In post","2023","40-49","Attorney General's Office","Attorney General's Departments","10","10","66220","55750"
"In post","2023","40-49","Building Digital UK","Department for Digital, Culture, Media and Sport","40","40","52140","53030"
"In post","2023","40-49","Cabinet Office (excl. agencies)","Cabinet Office","1420","1375","52840","52030"
"In post","2023","40-49","Central Civil Service Fast Stream","Cabinet Office","30","30","30680","30130"
"In post","2023","40-49","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","190","180","37110","37300"
"In post","2023","40-49","Charity Commission","Charity Commission","145","135","40520","38800"
